자재바코드,검사일시,검사결과,비고
11002026021500644_001,2026-02-15 03:06:18,NG3,R전류, 소음 불량
11002026021500644_002,2026-02-15 03:06:41,NG3,R전류, 소음 불량
11002026021500644_003,,,
11002026021500644_004,,,
11002026021500644_005,,,
11002026021500644_006,,,
11002026021500644_007,,,
11002026021500644_008,,,
11002026021500644_009,,,
11002026021500644_010,,,
11002026021500644_011,,,
11002026021500644_012,,,
11002026021500644_013,,,
11002026021500644_014,,,
11002026021500644_015,,,
11002026021500644_016,,,
11002026021500644_017,,,
11002026021500644_018,,,
11002026021500644_019,,,
11002026021500644_020,,,
11002026021500644_021,,,
11002026021500644_022,,,
11002026021500644_023,,,
11002026021500644_024,,,
11002026021500644_025,,,
11002026021500644_026,,,
11002026021500644_027,,,
11002026021500644_028,,,
11002026021500644_029,,,
11002026021500644_030,,,
11002026021500644_031,,,
11002026021500644_032,,,
11002026021500644_033,,,
11002026021500644_034,,,
11002026021500644_035,,,
11002026021500644_036,,,
11002026021500644_037,,,
11002026021500644_038,,,
11002026021500644_039,,,
11002026021500644_040,,,
11002026021500644_041,,,
11002026021500644_042,,,
11002026021500644_043,,,
11002026021500644_044,,,
11002026021500644_045,,,
11002026021500644_046,,,
11002026021500644_047,,,
11002026021500644_048,,,
11002026021500644_049,,,
11002026021500644_050,,,
11002026021500644_051,,,
11002026021500644_052,,,
11002026021500644_053,,,
11002026021500644_054,,,
11002026021500644_055,,,
11002026021500644_056,,,
11002026021500644_057,,,
11002026021500644_058,,,
11002026021500644_059,,,
11002026021500644_060,,,
11002026021500644_061,,,
11002026021500644_062,,,
11002026021500644_063,,,
11002026021500644_064,,,
11002026021500644_065,,,
11002026021500644_066,,,
11002026021500644_067,,,
11002026021500644_068,,,
11002026021500644_069,,,
11002026021500644_070,,,
11002026021500644_071,,,
11002026021500644_072,,,
11002026021500644_073,,,
11002026021500644_074,,,
11002026021500644_075,,,
11002026021500644_076,,,
11002026021500644_077,,,
11002026021500644_078,,,
11002026021500644_079,,,
11002026021500644_080,,,
11002026021500644_081,,,
11002026021500644_082,,,
11002026021500644_083,,,
11002026021500644_084,,,
11002026021500644_085,,,
11002026021500644_086,,,
11002026021500644_087,,,
11002026021500644_088,,,
11002026021500644_089,,,
11002026021500644_090,,,
11002026021500644_091,,,
11002026021500644_092,,,
11002026021500644_093,,,
11002026021500644_094,,,
11002026021500644_095,,,
11002026021500644_096,,,
11002026021500644_097,,,
11002026021500644_098,,,
11002026021500644_099,,,
11002026021500644_100,,,
