자재바코드,검사일시,검사결과,비고
11002026021500679_001,2026-02-15 03:48:36,NG3,R전류, 소음 불량
11002026021500679_002,2026-02-15 03:49:06,NG3,R전류, 소음 불량
11002026021500679_003,,,
11002026021500679_004,,,
11002026021500679_005,,,
11002026021500679_006,,,
11002026021500679_007,,,
11002026021500679_008,,,
11002026021500679_009,,,
11002026021500679_010,,,
11002026021500679_011,,,
11002026021500679_012,,,
11002026021500679_013,,,
11002026021500679_014,,,
11002026021500679_015,,,
11002026021500679_016,,,
11002026021500679_017,,,
11002026021500679_018,,,
11002026021500679_019,,,
11002026021500679_020,,,
11002026021500679_021,,,
11002026021500679_022,,,
11002026021500679_023,,,
11002026021500679_024,,,
11002026021500679_025,,,
11002026021500679_026,,,
11002026021500679_027,,,
11002026021500679_028,,,
11002026021500679_029,,,
11002026021500679_030,,,
11002026021500679_031,,,
11002026021500679_032,,,
11002026021500679_033,,,
11002026021500679_034,,,
11002026021500679_035,,,
11002026021500679_036,,,
11002026021500679_037,,,
11002026021500679_038,,,
11002026021500679_039,,,
11002026021500679_040,,,
11002026021500679_041,,,
11002026021500679_042,,,
11002026021500679_043,,,
11002026021500679_044,,,
11002026021500679_045,,,
11002026021500679_046,,,
11002026021500679_047,,,
11002026021500679_048,,,
11002026021500679_049,,,
11002026021500679_050,,,
11002026021500679_051,,,
11002026021500679_052,,,
11002026021500679_053,,,
11002026021500679_054,,,
11002026021500679_055,,,
11002026021500679_056,,,
11002026021500679_057,,,
11002026021500679_058,,,
11002026021500679_059,,,
11002026021500679_060,,,
11002026021500679_061,,,
11002026021500679_062,,,
11002026021500679_063,,,
11002026021500679_064,,,
11002026021500679_065,,,
11002026021500679_066,,,
11002026021500679_067,,,
11002026021500679_068,,,
11002026021500679_069,,,
11002026021500679_070,,,
11002026021500679_071,,,
11002026021500679_072,,,
11002026021500679_073,,,
11002026021500679_074,,,
11002026021500679_075,,,
11002026021500679_076,,,
11002026021500679_077,,,
11002026021500679_078,,,
11002026021500679_079,,,
11002026021500679_080,,,
11002026021500679_081,,,
11002026021500679_082,,,
11002026021500679_083,,,
11002026021500679_084,,,
11002026021500679_085,,,
11002026021500679_086,,,
11002026021500679_087,,,
11002026021500679_088,,,
11002026021500679_089,,,
11002026021500679_090,,,
11002026021500679_091,,,
11002026021500679_092,,,
11002026021500679_093,,,
11002026021500679_094,,,
11002026021500679_095,,,
11002026021500679_096,,,
11002026021500679_097,,,
11002026021500679_098,,,
11002026021500679_099,,,
11002026021500679_100,,,
