자재바코드,검사일시,검사결과,비고
14032026021500109_001,2026-02-15 19:04:18,NG1,R전류 불량
14032026021500109_002,2026-02-15 19:04:37,NG1,R전류 불량
14032026021500109_003,2026-02-15 19:05:06,NG1,R전류 불량
14032026021500109_004,2026-02-15 19:05:24,NG1,R전류 불량
14032026021500109_005,2026-02-15 19:05:42,NG1,R전류 불량
14032026021500109_006,2026-02-15 19:06:00,NG1,R전류 불량
14032026021500109_007,2026-02-15 19:06:18,NG1,R전류 불량
14032026021500109_008,2026-02-15 19:06:37,NG1,R전류 불량
14032026021500109_009,2026-02-15 19:06:56,NG1,R전류 불량
14032026021500109_010,2026-02-15 19:07:14,NG1,R전류 불량
14032026021500109_011,2026-02-15 19:07:34,NG3,R전류, 소음 불량
14032026021500109_012,2026-02-15 19:07:54,NG1,R전류 불량
14032026021500109_013,2026-02-15 19:08:13,NG1,R전류 불량
14032026021500109_014,2026-02-15 19:08:32,NG1,R전류 불량
14032026021500109_015,2026-02-15 19:08:49,NG1,R전류 불량
14032026021500109_016,2026-02-15 19:09:08,NG1,R전류 불량
14032026021500109_017,2026-02-15 19:09:26,NG1,R전류 불량
14032026021500109_018,2026-02-15 19:09:45,NG1,R전류 불량
14032026021500109_019,2026-02-15 19:10:04,NG1,R전류 불량
14032026021500109_020,2026-02-15 19:10:24,NG1,R전류 불량
14032026021500109_021,2026-02-15 19:10:45,NG1,R전류 불량
14032026021500109_022,2026-02-15 19:11:03,NG1,R전류 불량
14032026021500109_023,2026-02-15 19:11:21,NG1,R전류 불량
14032026021500109_024,2026-02-15 19:11:39,NG1,R전류 불량
14032026021500109_025,2026-02-15 19:11:56,NG1,R전류 불량
14032026021500109_026,2026-02-15 19:12:15,NG1,R전류 불량
14032026021500109_027,2026-02-15 19:12:33,NG1,R전류 불량
14032026021500109_028,2026-02-15 19:12:52,NG1,R전류 불량
14032026021500109_029,2026-02-15 19:13:12,NG1,R전류 불량
14032026021500109_030,2026-02-15 19:13:32,NG1,R전류 불량
14032026021500109_031,2026-02-15 19:13:50,NG1,R전류 불량
14032026021500109_032,2026-02-15 19:14:08,NG1,R전류 불량
14032026021500109_033,2026-02-15 19:14:27,NG1,R전류 불량
14032026021500109_034,2026-02-15 19:14:45,NG1,R전류 불량
14032026021500109_035,2026-02-15 19:15:06,NG1,R전류 불량
14032026021500109_036,2026-02-15 19:15:24,NG1,R전류 불량
14032026021500109_037,2026-02-15 19:15:42,NG1,R전류 불량
14032026021500109_038,2026-02-15 19:16:03,NG1,R전류 불량
14032026021500109_039,2026-02-15 19:16:25,NG1,R전류 불량
14032026021500109_040,2026-02-15 19:16:47,NG1,R전류 불량
14032026021500109_041,2026-02-15 19:17:05,NG1,R전류 불량
14032026021500109_042,2026-02-15 19:17:23,NG1,R전류 불량
14032026021500109_043,2026-02-15 19:17:41,NG1,R전류 불량
14032026021500109_044,2026-02-15 19:17:58,NG1,R전류 불량
14032026021500109_045,2026-02-15 19:18:16,NG1,R전류 불량
14032026021500109_046,2026-02-15 19:18:34,NG1,R전류 불량
14032026021500109_047,2026-02-15 19:18:52,NG1,R전류 불량
14032026021500109_048,2026-02-15 19:19:12,NG1,R전류 불량
14032026021500109_049,2026-02-15 19:19:32,NG1,R전류 불량
14032026021500109_050,2026-02-15 19:19:51,NG1,R전류 불량
14032026021500109_051,2026-02-15 19:20:09,NG1,R전류 불량
14032026021500109_052,2026-02-15 19:20:28,NG1,R전류 불량
14032026021500109_053,2026-02-15 19:20:46,NG1,R전류 불량
14032026021500109_054,2026-02-15 19:21:04,NG1,R전류 불량
14032026021500109_055,2026-02-15 19:21:22,NG1,R전류 불량
14032026021500109_056,2026-02-15 19:21:41,NG1,R전류 불량
14032026021500109_057,2026-02-15 19:22:00,NG1,R전류 불량
14032026021500109_058,2026-02-15 19:22:19,OK,
14032026021500109_059,2026-02-15 19:22:40,OK,
14032026021500109_060,2026-02-15 19:22:59,OK,
14032026021500109_061,2026-02-15 19:23:17,OK,
14032026021500109_062,2026-02-15 19:23:35,OK,
14032026021500109_063,2026-02-15 19:23:53,OK,
14032026021500109_064,2026-02-15 19:24:11,OK,
14032026021500109_065,2026-02-15 19:24:30,OK,
14032026021500109_066,2026-02-15 19:24:48,NG2,소음 불량
14032026021500109_067,2026-02-15 19:25:07,OK,
14032026021500109_068,2026-02-15 19:25:28,OK,
14032026021500109_069,2026-02-15 19:25:52,NG2,소음 불량
14032026021500109_070,2026-02-15 19:26:11,OK,
14032026021500109_071,2026-02-15 19:26:29,OK,
14032026021500109_072,2026-02-15 19:26:47,OK,
14032026021500109_073,2026-02-15 19:27:05,OK,
14032026021500109_074,2026-02-15 19:27:24,OK,
14032026021500109_075,2026-02-15 19:27:42,OK,
14032026021500109_076,2026-02-15 19:28:01,OK,
14032026021500109_077,2026-02-15 19:28:21,OK,
14032026021500109_078,2026-02-15 19:28:41,OK,
14032026021500109_079,2026-02-15 19:28:59,OK,
14032026021500109_080,2026-02-15 19:29:17,OK,
14032026021500109_081,2026-02-15 19:29:35,OK,
14032026021500109_082,2026-02-15 19:29:54,OK,
14032026021500109_083,2026-02-15 19:30:12,OK,
14032026021500109_084,2026-02-15 19:30:31,OK,
14032026021500109_085,2026-02-15 19:30:52,OK,
14032026021500109_086,2026-02-15 19:31:12,OK,
14032026021500109_087,2026-02-15 19:31:32,OK,
14032026021500109_088,2026-02-15 19:31:51,OK,
14032026021500109_089,2026-02-15 19:32:10,OK,
14032026021500109_090,2026-02-15 19:32:27,OK,
14032026021500109_091,2026-02-15 19:32:45,OK,
14032026021500109_092,2026-02-15 19:33:03,OK,
14032026021500109_093,2026-02-15 19:33:22,OK,
14032026021500109_094,2026-02-15 19:33:40,OK,
14032026021500109_095,2026-02-15 19:33:59,OK,
14032026021500109_096,2026-02-15 19:34:19,OK,
14032026021500109_097,2026-02-15 19:34:39,OK,
14032026021500109_098,2026-02-15 19:34:59,OK,
14032026021500109_099,2026-02-15 19:35:18,OK,
14032026021500109_100,2026-02-15 19:35:36,OK,
14042026021500997_001,2026-02-15 19:35:54,OK,
14042026021500997_002,2026-02-15 19:36:12,OK,
14042026021500997_003,2026-02-15 19:36:31,OK,
14042026021500997_004,2026-02-15 19:36:49,OK,
14042026021500997_005,2026-02-15 19:37:09,OK,
14042026021500997_006,2026-02-15 19:37:29,OK,
14042026021500997_007,2026-02-15 19:37:49,OK,
14042026021500997_008,2026-02-15 19:38:08,OK,
14042026021500997_009,2026-02-15 19:38:26,OK,
14042026021500997_010,2026-02-15 19:38:44,OK,
14042026021500997_011,2026-02-15 19:39:01,OK,
14042026021500997_012,2026-02-15 19:39:19,OK,
14042026021500997_013,2026-02-15 19:39:38,OK,
14042026021500997_014,2026-02-15 19:39:56,OK,
14042026021500997_015,2026-02-15 19:40:17,OK,
14042026021500997_016,2026-02-15 19:40:38,OK,
14042026021500997_017,2026-02-15 19:40:57,OK,
14042026021500997_018,2026-02-15 19:41:14,OK,
14042026021500997_019,2026-02-15 19:41:32,OK,
14042026021500997_020,2026-02-15 19:41:51,OK,
14042026021500997_021,2026-02-15 19:42:09,OK,
14042026021500997_022,2026-02-15 19:42:27,OK,
14042026021500997_023,2026-02-15 19:42:45,OK,
14042026021500997_024,2026-02-15 19:43:04,OK,
14042026021500997_025,2026-02-15 19:43:23,OK,
14042026021500997_026,2026-02-15 19:43:44,OK,
14042026021500997_027,2026-02-15 19:44:03,OK,
14042026021500997_028,2026-02-15 19:44:24,OK,
14042026021500997_029,2026-02-15 19:44:42,OK,
14042026021500997_030,2026-02-15 19:45:00,OK,
14042026021500997_031,2026-02-15 19:45:18,OK,
14042026021500997_032,2026-02-15 19:45:36,OK,
14042026021500997_033,2026-02-15 19:45:54,OK,
14042026021500997_034,2026-02-15 19:46:16,OK,
14042026021500997_035,2026-02-15 19:46:36,OK,
14042026021500997_036,2026-02-15 19:46:55,OK,
14042026021500997_037,2026-02-15 19:47:14,OK,
14042026021500997_038,2026-02-15 19:47:32,OK,
14042026021500997_039,2026-02-15 19:47:50,OK,
14042026021500997_040,2026-02-15 19:48:09,OK,
14042026021500997_041,2026-02-15 19:48:26,OK,
14042026021500997_042,2026-02-15 19:48:44,OK,
14042026021500997_043,2026-02-15 19:49:03,OK,
14042026021500997_044,2026-02-15 19:49:23,OK,
14042026021500997_045,2026-02-15 19:49:44,OK,
14042026021500997_046,2026-02-15 19:50:03,NG2,소음 불량
14042026021500997_047,2026-02-15 19:50:21,OK,
14042026021500997_048,2026-02-15 19:50:39,OK,
14042026021500997_049,2026-02-15 19:50:58,OK,
14042026021500997_050,2026-02-15 19:51:16,OK,
14042026021500997_051,2026-02-15 19:51:35,OK,
14042026021500997_052,2026-02-15 19:51:54,OK,
14042026021500997_053,2026-02-15 19:52:14,OK,
14042026021500997_054,2026-02-15 19:52:34,OK,
14042026021500997_055,2026-02-15 19:52:52,OK,
14042026021500997_056,2026-02-15 19:53:10,OK,
14042026021500997_057,2026-02-15 19:53:28,OK,
14042026021500997_058,2026-02-15 19:53:45,OK,
14042026021500997_059,2026-02-15 19:54:04,OK,
14042026021500997_060,2026-02-15 19:54:22,OK,
14042026021500997_061,2026-02-15 19:54:41,OK,
14042026021500997_062,2026-02-15 19:55:01,OK,
14042026021500997_063,2026-02-15 19:55:20,OK,
