자재바코드,검사일시,검사결과,비고
14502026021500710_001,,,
14502026021500710_002,,,
14502026021500710_003,,,
14502026021500710_004,,,
14502026021500710_005,,,
14502026021500710_006,,,
14502026021500710_007,,,
14502026021500710_008,,,
14502026021500710_009,,,
14502026021500710_010,,,
14502026021500710_011,,,
14502026021500710_012,,,
14502026021500710_013,,,
14502026021500710_014,,,
14502026021500710_015,,,
14502026021500710_016,,,
14502026021500710_017,,,
14502026021500710_018,,,
14502026021500710_019,,,
14502026021500710_020,,,
14502026021500710_021,,,
14502026021500710_022,,,
14502026021500710_023,,,
14502026021500710_024,,,
14502026021500710_025,,,
14502026021500710_026,,,
14502026021500710_027,,,
14502026021500710_028,,,
14502026021500710_029,,,
14502026021500710_030,,,
14502026021500710_031,,,
14502026021500710_032,,,
14502026021500710_033,,,
14502026021500710_034,,,
14502026021500710_035,,,
14502026021500710_036,,,
14502026021500710_037,,,
14502026021500710_038,,,
14502026021500710_039,,,
14502026021500710_040,,,
14502026021500710_041,,,
14502026021500710_042,,,
14502026021500710_043,,,
14502026021500710_044,,,
14502026021500710_045,,,
14502026021500710_046,,,
14502026021500710_047,,,
14502026021500710_048,,,
14502026021500710_049,,,
14502026021500710_050,,,
14502026021500710_051,,,
14502026021500710_052,,,
14502026021500710_053,,,
14502026021500710_054,,,
14502026021500710_055,,,
14502026021500710_056,,,
14502026021500710_057,,,
14502026021500710_058,,,
14502026021500710_059,,,
14502026021500710_060,,,
14502026021500710_061,,,
14502026021500710_062,,,
14502026021500710_063,,,
14502026021500710_064,,,
14502026021500710_065,,,
14502026021500710_066,,,
14502026021500710_067,,,
14502026021500710_068,,,
14502026021500710_069,,,
14502026021500710_070,,,
14502026021500710_071,,,
14502026021500710_072,,,
14502026021500710_073,,,
14502026021500710_074,,,
14502026021500710_075,,,
14502026021500710_076,,,
14502026021500710_077,,,
14502026021500710_078,,,
14502026021500710_079,,,
14502026021500710_080,,,
14502026021500710_081,,,
14502026021500710_082,,,
14502026021500710_083,,,
14502026021500710_084,,,
14502026021500710_085,,,
14502026021500710_086,,,
14502026021500710_087,,,
14502026021500710_088,,,
14502026021500710_089,,,
14502026021500710_090,,,
14502026021500710_091,,,
14502026021500710_092,,,
14502026021500710_093,,,
14502026021500710_094,,,
14502026021500710_095,,,
14502026021500710_096,,,
14502026021500710_097,,,
14502026021500710_098,,,
14502026021500710_099,,,
14502026021500710_100,,,
11002026021500785_001,2026-02-15 23:47:47,NG1,
11002026021500785_002,,,
11002026021500785_003,,,
11002026021500785_004,,,
11002026021500785_005,,,
11002026021500785_006,,,
11002026021500785_007,,,
11002026021500785_008,,,
11002026021500785_009,,,
11002026021500785_010,,,
11002026021500785_011,,,
11002026021500785_012,,,
11002026021500785_013,,,
11002026021500785_014,,,
11002026021500785_015,,,
11002026021500785_016,,,
11002026021500785_017,,,
11002026021500785_018,,,
11002026021500785_019,,,
11002026021500785_020,,,
11002026021500785_021,,,
11002026021500785_022,,,
11002026021500785_023,,,
11002026021500785_024,,,
11002026021500785_025,,,
11002026021500785_026,,,
11002026021500785_027,,,
11002026021500785_028,,,
11002026021500785_029,,,
11002026021500785_030,,,
11002026021500785_031,,,
11002026021500785_032,,,
11002026021500785_033,,,
11002026021500785_034,,,
11002026021500785_035,,,
11002026021500785_036,,,
11002026021500785_037,,,
11002026021500785_038,,,
11002026021500785_039,,,
11002026021500785_040,,,
11002026021500785_041,,,
11002026021500785_042,,,
11002026021500785_043,,,
11002026021500785_044,,,
11002026021500785_045,,,
11002026021500785_046,,,
11002026021500785_047,,,
11002026021500785_048,,,
11002026021500785_049,,,
11002026021500785_050,,,
11002026021500785_051,,,
11002026021500785_052,,,
11002026021500785_053,,,
11002026021500785_054,,,
11002026021500785_055,,,
11002026021500785_056,,,
11002026021500785_057,,,
11002026021500785_058,,,
11002026021500785_059,,,
11002026021500785_060,,,
11002026021500785_061,,,
11002026021500785_062,,,
11002026021500785_063,,,
11002026021500785_064,,,
11002026021500785_065,,,
11002026021500785_066,,,
11002026021500785_067,,,
11002026021500785_068,,,
11002026021500785_069,,,
11002026021500785_070,,,
11002026021500785_071,,,
11002026021500785_072,,,
11002026021500785_073,,,
11002026021500785_074,,,
11002026021500785_075,,,
11002026021500785_076,,,
11002026021500785_077,,,
11002026021500785_078,,,
11002026021500785_079,,,
11002026021500785_080,,,
11002026021500785_081,,,
11002026021500785_082,,,
11002026021500785_083,,,
11002026021500785_084,,,
11002026021500785_085,,,
11002026021500785_086,,,
11002026021500785_087,,,
11002026021500785_088,,,
11002026021500785_089,,,
11002026021500785_090,,,
11002026021500785_091,,,
11002026021500785_092,,,
11002026021500785_093,,,
11002026021500785_094,,,
11002026021500785_095,,,
11002026021500785_096,,,
11002026021500785_097,,,
11002026021500785_098,,,
11002026021500785_099,,,
11002026021500785_100,,,
