자재바코드,검사일시,검사결과,비고
11002026021500893_001,2026-02-15 03:12:05,NG3,R전류, 소음 불량
11002026021500893_002,2026-02-15 03:13:05,NG3,R전류, 소음 불량
11002026021500893_003,,,
11002026021500893_004,,,
11002026021500893_005,,,
11002026021500893_006,,,
11002026021500893_007,,,
11002026021500893_008,,,
11002026021500893_009,,,
11002026021500893_010,,,
11002026021500893_011,,,
11002026021500893_012,,,
11002026021500893_013,,,
11002026021500893_014,,,
11002026021500893_015,,,
11002026021500893_016,,,
11002026021500893_017,,,
11002026021500893_018,,,
11002026021500893_019,,,
11002026021500893_020,,,
11002026021500893_021,,,
11002026021500893_022,,,
11002026021500893_023,,,
11002026021500893_024,,,
11002026021500893_025,,,
11002026021500893_026,,,
11002026021500893_027,,,
11002026021500893_028,,,
11002026021500893_029,,,
11002026021500893_030,,,
11002026021500893_031,,,
11002026021500893_032,,,
11002026021500893_033,,,
11002026021500893_034,,,
11002026021500893_035,,,
11002026021500893_036,,,
11002026021500893_037,,,
11002026021500893_038,,,
11002026021500893_039,,,
11002026021500893_040,,,
11002026021500893_041,,,
11002026021500893_042,,,
11002026021500893_043,,,
11002026021500893_044,,,
11002026021500893_045,,,
11002026021500893_046,,,
11002026021500893_047,,,
11002026021500893_048,,,
11002026021500893_049,,,
11002026021500893_050,,,
11002026021500893_051,,,
11002026021500893_052,,,
11002026021500893_053,,,
11002026021500893_054,,,
11002026021500893_055,,,
11002026021500893_056,,,
11002026021500893_057,,,
11002026021500893_058,,,
11002026021500893_059,,,
11002026021500893_060,,,
11002026021500893_061,,,
11002026021500893_062,,,
11002026021500893_063,,,
11002026021500893_064,,,
11002026021500893_065,,,
11002026021500893_066,,,
11002026021500893_067,,,
11002026021500893_068,,,
11002026021500893_069,,,
11002026021500893_070,,,
11002026021500893_071,,,
11002026021500893_072,,,
11002026021500893_073,,,
11002026021500893_074,,,
11002026021500893_075,,,
11002026021500893_076,,,
11002026021500893_077,,,
11002026021500893_078,,,
11002026021500893_079,,,
11002026021500893_080,,,
11002026021500893_081,,,
11002026021500893_082,,,
11002026021500893_083,,,
11002026021500893_084,,,
11002026021500893_085,,,
11002026021500893_086,,,
11002026021500893_087,,,
11002026021500893_088,,,
11002026021500893_089,,,
11002026021500893_090,,,
11002026021500893_091,,,
11002026021500893_092,,,
11002026021500893_093,,,
11002026021500893_094,,,
11002026021500893_095,,,
11002026021500893_096,,,
11002026021500893_097,,,
11002026021500893_098,,,
11002026021500893_099,,,
11002026021500893_100,,,
