자재바코드,검사일시,검사결과,비고
14512026021500513_001,2026-02-15 17:09:21,NG1,R전류, S전류, T전류 불량
14512026021500513_002,2026-02-15 17:14:16,NG1,R전류, S전류, T전류 불량
14512026021500513_003,2026-02-15 17:15:25,NG1,R전류, S전류, T전류 불량
14512026021500513_004,,,
14512026021500513_005,,,
14512026021500513_006,,,
14512026021500513_007,,,
14512026021500513_008,,,
14512026021500513_009,,,
14512026021500513_010,,,
14512026021500513_011,,,
14512026021500513_012,,,
14512026021500513_013,,,
14512026021500513_014,,,
14512026021500513_015,,,
14512026021500513_016,,,
14512026021500513_017,,,
14512026021500513_018,,,
14512026021500513_019,,,
14512026021500513_020,,,
14512026021500513_021,,,
14512026021500513_022,,,
14512026021500513_023,,,
14512026021500513_024,,,
14512026021500513_025,,,
14512026021500513_026,,,
14512026021500513_027,,,
14512026021500513_028,,,
14512026021500513_029,,,
14512026021500513_030,,,
14512026021500513_031,,,
14512026021500513_032,,,
14512026021500513_033,,,
14512026021500513_034,,,
14512026021500513_035,,,
14512026021500513_036,,,
14512026021500513_037,,,
14512026021500513_038,,,
14512026021500513_039,,,
14512026021500513_040,,,
14512026021500513_041,,,
14512026021500513_042,,,
14512026021500513_043,,,
14512026021500513_044,,,
14512026021500513_045,,,
14512026021500513_046,,,
14512026021500513_047,,,
14512026021500513_048,,,
14512026021500513_049,,,
14512026021500513_050,,,
14512026021500513_051,,,
14512026021500513_052,,,
14512026021500513_053,,,
14512026021500513_054,,,
14512026021500513_055,,,
14512026021500513_056,,,
14512026021500513_057,,,
14512026021500513_058,,,
14512026021500513_059,,,
14512026021500513_060,,,
14512026021500513_061,,,
14512026021500513_062,,,
14512026021500513_063,,,
14512026021500513_064,,,
14512026021500513_065,,,
14512026021500513_066,,,
14512026021500513_067,,,
14512026021500513_068,,,
14512026021500513_069,,,
14512026021500513_070,,,
14512026021500513_071,,,
14512026021500513_072,,,
14512026021500513_073,,,
14512026021500513_074,,,
14512026021500513_075,,,
14512026021500513_076,,,
14512026021500513_077,,,
14512026021500513_078,,,
14512026021500513_079,,,
14512026021500513_080,,,
14512026021500513_081,,,
14512026021500513_082,,,
14512026021500513_083,,,
14512026021500513_084,,,
14512026021500513_085,,,
14512026021500513_086,,,
14512026021500513_087,,,
14512026021500513_088,,,
14512026021500513_089,,,
14512026021500513_090,,,
14512026021500513_091,,,
14512026021500513_092,,,
14512026021500513_093,,,
14512026021500513_094,,,
14512026021500513_095,,,
14512026021500513_096,,,
14512026021500513_097,,,
14512026021500513_098,,,
14512026021500513_099,,,
14512026021500513_100,,,
