자재바코드,검사일시,검사결과,비고
11002026021500693_001,2026-02-15 03:20:48,NG3,R전류, 소음 불량
11002026021500693_002,2026-02-15 03:21:25,NG1,R전류 불량
11002026021500693_003,2026-02-15 03:21:43,NG3,R전류, 소음 불량
11002026021500693_004,2026-02-15 03:22:02,NG3,R전류, 소음 불량
11002026021500693_005,,,
11002026021500693_006,,,
11002026021500693_007,,,
11002026021500693_008,,,
11002026021500693_009,,,
11002026021500693_010,,,
11002026021500693_011,,,
11002026021500693_012,,,
11002026021500693_013,,,
11002026021500693_014,,,
11002026021500693_015,,,
11002026021500693_016,,,
11002026021500693_017,,,
11002026021500693_018,,,
11002026021500693_019,,,
11002026021500693_020,,,
11002026021500693_021,,,
11002026021500693_022,,,
11002026021500693_023,,,
11002026021500693_024,,,
11002026021500693_025,,,
11002026021500693_026,,,
11002026021500693_027,,,
11002026021500693_028,,,
11002026021500693_029,,,
11002026021500693_030,,,
11002026021500693_031,,,
11002026021500693_032,,,
11002026021500693_033,,,
11002026021500693_034,,,
11002026021500693_035,,,
11002026021500693_036,,,
11002026021500693_037,,,
11002026021500693_038,,,
11002026021500693_039,,,
11002026021500693_040,,,
11002026021500693_041,,,
11002026021500693_042,,,
11002026021500693_043,,,
11002026021500693_044,,,
11002026021500693_045,,,
11002026021500693_046,,,
11002026021500693_047,,,
11002026021500693_048,,,
11002026021500693_049,,,
11002026021500693_050,,,
11002026021500693_051,,,
11002026021500693_052,,,
11002026021500693_053,,,
11002026021500693_054,,,
11002026021500693_055,,,
11002026021500693_056,,,
11002026021500693_057,,,
11002026021500693_058,,,
11002026021500693_059,,,
11002026021500693_060,,,
11002026021500693_061,,,
11002026021500693_062,,,
11002026021500693_063,,,
11002026021500693_064,,,
11002026021500693_065,,,
11002026021500693_066,,,
11002026021500693_067,,,
11002026021500693_068,,,
11002026021500693_069,,,
11002026021500693_070,,,
11002026021500693_071,,,
11002026021500693_072,,,
11002026021500693_073,,,
11002026021500693_074,,,
11002026021500693_075,,,
11002026021500693_076,,,
11002026021500693_077,,,
11002026021500693_078,,,
11002026021500693_079,,,
11002026021500693_080,,,
11002026021500693_081,,,
11002026021500693_082,,,
11002026021500693_083,,,
11002026021500693_084,,,
11002026021500693_085,,,
11002026021500693_086,,,
11002026021500693_087,,,
11002026021500693_088,,,
11002026021500693_089,,,
11002026021500693_090,,,
11002026021500693_091,,,
11002026021500693_092,,,
11002026021500693_093,,,
11002026021500693_094,,,
11002026021500693_095,,,
11002026021500693_096,,,
11002026021500693_097,,,
11002026021500693_098,,,
11002026021500693_099,,,
11002026021500693_100,,,
