자재바코드,검사일시,검사결과,비고
11002026021500404_001,2026-02-15 02:46:18,NG3,R전류, 소음 불량
11002026021500404_002,,,
11002026021500404_003,,,
11002026021500404_004,,,
11002026021500404_005,,,
11002026021500404_006,,,
11002026021500404_007,,,
11002026021500404_008,,,
11002026021500404_009,,,
11002026021500404_010,,,
11002026021500404_011,,,
11002026021500404_012,,,
11002026021500404_013,,,
11002026021500404_014,,,
11002026021500404_015,,,
11002026021500404_016,,,
11002026021500404_017,,,
11002026021500404_018,,,
11002026021500404_019,,,
11002026021500404_020,,,
11002026021500404_021,,,
11002026021500404_022,,,
11002026021500404_023,,,
11002026021500404_024,,,
11002026021500404_025,,,
11002026021500404_026,,,
11002026021500404_027,,,
11002026021500404_028,,,
11002026021500404_029,,,
11002026021500404_030,,,
11002026021500404_031,,,
11002026021500404_032,,,
11002026021500404_033,,,
11002026021500404_034,,,
11002026021500404_035,,,
11002026021500404_036,,,
11002026021500404_037,,,
11002026021500404_038,,,
11002026021500404_039,,,
11002026021500404_040,,,
11002026021500404_041,,,
11002026021500404_042,,,
11002026021500404_043,,,
11002026021500404_044,,,
11002026021500404_045,,,
11002026021500404_046,,,
11002026021500404_047,,,
11002026021500404_048,,,
11002026021500404_049,,,
11002026021500404_050,,,
11002026021500404_051,,,
11002026021500404_052,,,
11002026021500404_053,,,
11002026021500404_054,,,
11002026021500404_055,,,
11002026021500404_056,,,
11002026021500404_057,,,
11002026021500404_058,,,
11002026021500404_059,,,
11002026021500404_060,,,
11002026021500404_061,,,
11002026021500404_062,,,
11002026021500404_063,,,
11002026021500404_064,,,
11002026021500404_065,,,
11002026021500404_066,,,
11002026021500404_067,,,
11002026021500404_068,,,
11002026021500404_069,,,
11002026021500404_070,,,
11002026021500404_071,,,
11002026021500404_072,,,
11002026021500404_073,,,
11002026021500404_074,,,
11002026021500404_075,,,
11002026021500404_076,,,
11002026021500404_077,,,
11002026021500404_078,,,
11002026021500404_079,,,
11002026021500404_080,,,
11002026021500404_081,,,
11002026021500404_082,,,
11002026021500404_083,,,
11002026021500404_084,,,
11002026021500404_085,,,
11002026021500404_086,,,
11002026021500404_087,,,
11002026021500404_088,,,
11002026021500404_089,,,
11002026021500404_090,,,
11002026021500404_091,,,
11002026021500404_092,,,
11002026021500404_093,,,
11002026021500404_094,,,
11002026021500404_095,,,
11002026021500404_096,,,
11002026021500404_097,,,
11002026021500404_098,,,
11002026021500404_099,,,
11002026021500404_100,,,
