자재바코드,검사일시,검사결과,비고
14042026021500263_001,2026-02-15 12:43:13,NG1,R전류 불량
14042026021500263_002,2026-02-15 12:44:15,NG1,R전류 불량
14042026021500263_003,2026-02-15 12:45:11,NG1,R전류 불량
14042026021500263_004,,,
14042026021500263_005,2026-02-15 12:45:49,NG1,R전류 불량
14042026021500263_006,,,
14042026021500263_007,,,
14042026021500263_008,,,
14042026021500263_009,,,
14042026021500263_010,,,
14042026021500263_011,,,
14042026021500263_012,,,
14042026021500263_013,,,
14042026021500263_014,,,
14042026021500263_015,,,
14042026021500263_016,,,
14042026021500263_017,,,
14042026021500263_018,,,
14042026021500263_019,,,
14042026021500263_020,,,
14042026021500263_021,,,
14042026021500263_022,,,
14042026021500263_023,,,
14042026021500263_024,,,
14042026021500263_025,,,
14042026021500263_026,,,
14042026021500263_027,,,
14042026021500263_028,,,
14042026021500263_029,,,
14042026021500263_030,,,
14042026021500263_031,,,
14042026021500263_032,,,
14042026021500263_033,,,
14042026021500263_034,,,
14042026021500263_035,,,
14042026021500263_036,,,
14042026021500263_037,,,
14042026021500263_038,,,
14042026021500263_039,,,
14042026021500263_040,,,
14042026021500263_041,,,
14042026021500263_042,,,
14042026021500263_043,,,
14042026021500263_044,,,
14042026021500263_045,,,
14042026021500263_046,,,
14042026021500263_047,,,
14042026021500263_048,,,
14042026021500263_049,,,
14042026021500263_050,,,
14042026021500263_051,,,
14042026021500263_052,,,
14042026021500263_053,,,
14042026021500263_054,,,
14042026021500263_055,,,
14042026021500263_056,,,
14042026021500263_057,,,
14042026021500263_058,,,
14042026021500263_059,,,
14042026021500263_060,,,
14042026021500263_061,,,
14042026021500263_062,,,
14042026021500263_063,,,
14042026021500263_064,,,
14042026021500263_065,,,
14042026021500263_066,,,
14042026021500263_067,,,
14042026021500263_068,,,
14042026021500263_069,,,
14042026021500263_070,,,
14042026021500263_071,,,
14042026021500263_072,,,
14042026021500263_073,,,
14042026021500263_074,,,
14042026021500263_075,,,
14042026021500263_076,,,
14042026021500263_077,,,
14042026021500263_078,,,
14042026021500263_079,,,
14042026021500263_080,,,
14042026021500263_081,,,
14042026021500263_082,,,
14042026021500263_083,,,
14042026021500263_084,,,
14042026021500263_085,,,
14042026021500263_086,,,
14042026021500263_087,,,
14042026021500263_088,,,
14042026021500263_089,,,
14042026021500263_090,,,
14042026021500263_091,,,
14042026021500263_092,,,
14042026021500263_093,,,
14042026021500263_094,,,
14042026021500263_095,,,
14042026021500263_096,,,
14042026021500263_097,,,
14042026021500263_098,,,
14042026021500263_099,,,
14042026021500263_100,,,
