자재바코드,검사일시,검사결과,비고
14042026021100598_001,2026-02-11 23:57:11,NG1,R전류 불량
14042026021100598_002,2026-02-11 23:57:31,NG1,R전류 불량
14042026021100598_003,2026-02-11 23:57:50,NG1,R전류 불량
14042026021100598_004,2026-02-11 23:58:07,NG1,R전류 불량
14042026021100598_005,,,
14042026021100598_006,,,
14042026021100598_007,,,
14042026021100598_008,,,
14042026021100598_009,,,
14042026021100598_010,,,
14042026021100598_011,,,
14042026021100598_012,,,
14042026021100598_013,,,
14042026021100598_014,,,
14042026021100598_015,,,
14042026021100598_016,,,
14042026021100598_017,,,
14042026021100598_018,,,
14042026021100598_019,,,
14042026021100598_020,,,
14042026021100598_021,,,
14042026021100598_022,,,
14042026021100598_023,,,
14042026021100598_024,,,
14042026021100598_025,,,
14042026021100598_026,,,
14042026021100598_027,,,
14042026021100598_028,,,
14042026021100598_029,,,
14042026021100598_030,,,
14042026021100598_031,,,
14042026021100598_032,,,
14042026021100598_033,,,
14042026021100598_034,,,
14042026021100598_035,,,
14042026021100598_036,,,
14042026021100598_037,,,
14042026021100598_038,,,
14042026021100598_039,,,
14042026021100598_040,,,
14042026021100598_041,,,
14042026021100598_042,,,
14042026021100598_043,,,
14042026021100598_044,,,
14042026021100598_045,,,
14042026021100598_046,,,
14042026021100598_047,,,
14042026021100598_048,,,
14042026021100598_049,,,
14042026021100598_050,,,
14042026021100598_051,,,
14042026021100598_052,,,
14042026021100598_053,,,
14042026021100598_054,,,
14042026021100598_055,,,
14042026021100598_056,,,
14042026021100598_057,,,
14042026021100598_058,,,
14042026021100598_059,,,
14042026021100598_060,,,
14042026021100598_061,,,
14042026021100598_062,,,
14042026021100598_063,,,
14042026021100598_064,,,
14042026021100598_065,,,
14042026021100598_066,,,
14042026021100598_067,,,
14042026021100598_068,,,
14042026021100598_069,,,
14042026021100598_070,,,
14042026021100598_071,,,
14042026021100598_072,,,
14042026021100598_073,,,
14042026021100598_074,,,
14042026021100598_075,,,
14042026021100598_076,,,
14042026021100598_077,,,
14042026021100598_078,,,
14042026021100598_079,,,
14042026021100598_080,,,
14042026021100598_081,,,
14042026021100598_082,,,
14042026021100598_083,,,
14042026021100598_084,,,
14042026021100598_085,,,
14042026021100598_086,,,
14042026021100598_087,,,
14042026021100598_088,,,
14042026021100598_089,,,
14042026021100598_090,,,
14042026021100598_091,,,
14042026021100598_092,,,
14042026021100598_093,,,
14042026021100598_094,,,
14042026021100598_095,,,
14042026021100598_096,,,
14042026021100598_097,,,
14042026021100598_098,,,
14042026021100598_099,,,
14042026021100598_100,,,
