자재바코드,검사일시,검사결과,비고
16122026021100707_001,2026-02-11 22:51:51,NG3,R전류, 소음 불량
16122026021100707_002,,,
16122026021100707_003,,,
16122026021100707_004,,,
16122026021100707_005,,,
16122026021100707_006,,,
16122026021100707_007,,,
16122026021100707_008,,,
16122026021100707_009,,,
16122026021100707_010,,,
16122026021100707_011,,,
16122026021100707_012,,,
16122026021100707_013,,,
16122026021100707_014,,,
16122026021100707_015,,,
16122026021100707_016,,,
16122026021100707_017,,,
16122026021100707_018,,,
16122026021100707_019,,,
16122026021100707_020,,,
16122026021100707_021,,,
16122026021100707_022,,,
16122026021100707_023,,,
16122026021100707_024,,,
16122026021100707_025,,,
16122026021100707_026,,,
16122026021100707_027,,,
16122026021100707_028,,,
16122026021100707_029,,,
16122026021100707_030,,,
16122026021100707_031,,,
16122026021100707_032,,,
16122026021100707_033,,,
16122026021100707_034,,,
16122026021100707_035,,,
16122026021100707_036,,,
16122026021100707_037,,,
16122026021100707_038,,,
16122026021100707_039,,,
16122026021100707_040,,,
16122026021100707_041,,,
16122026021100707_042,,,
16122026021100707_043,,,
16122026021100707_044,,,
16122026021100707_045,,,
16122026021100707_046,,,
16122026021100707_047,,,
16122026021100707_048,,,
16122026021100707_049,,,
16122026021100707_050,,,
16122026021100707_051,,,
16122026021100707_052,,,
16122026021100707_053,,,
16122026021100707_054,,,
16122026021100707_055,,,
16122026021100707_056,,,
16122026021100707_057,,,
16122026021100707_058,,,
16122026021100707_059,,,
16122026021100707_060,,,
16122026021100707_061,,,
16122026021100707_062,,,
16122026021100707_063,,,
16122026021100707_064,,,
16122026021100707_065,,,
16122026021100707_066,,,
16122026021100707_067,,,
16122026021100707_068,,,
16122026021100707_069,,,
16122026021100707_070,,,
16122026021100707_071,,,
16122026021100707_072,,,
16122026021100707_073,,,
16122026021100707_074,,,
16122026021100707_075,,,
16122026021100707_076,,,
16122026021100707_077,,,
16122026021100707_078,,,
16122026021100707_079,,,
16122026021100707_080,,,
16122026021100707_081,,,
16122026021100707_082,,,
16122026021100707_083,,,
16122026021100707_084,,,
16122026021100707_085,,,
16122026021100707_086,,,
16122026021100707_087,,,
16122026021100707_088,,,
16122026021100707_089,,,
16122026021100707_090,,,
16122026021100707_091,,,
16122026021100707_092,,,
16122026021100707_093,,,
16122026021100707_094,,,
16122026021100707_095,,,
16122026021100707_096,,,
16122026021100707_097,,,
16122026021100707_098,,,
16122026021100707_099,,,
16122026021100707_100,,,
