자재바코드,검사일시,검사결과,비고
16122026021100003_001,2026-02-11 21:45:05,NG1,R전류 불량
16122026021100003_002,2026-02-11 21:45:21,NG1,R전류 불량
16122026021100003_003,2026-02-11 21:45:40,NG1,R전류 불량
16122026021100003_004,2026-02-11 21:46:05,NG1,R전류 불량
16122026021100003_005,,,
16122026021100003_006,,,
16122026021100003_007,,,
16122026021100003_008,,,
16122026021100003_009,,,
16122026021100003_010,,,
16122026021100003_011,,,
16122026021100003_012,,,
16122026021100003_013,,,
16122026021100003_014,,,
16122026021100003_015,,,
16122026021100003_016,,,
16122026021100003_017,,,
16122026021100003_018,,,
16122026021100003_019,,,
16122026021100003_020,,,
16122026021100003_021,,,
16122026021100003_022,,,
16122026021100003_023,,,
16122026021100003_024,,,
16122026021100003_025,,,
16122026021100003_026,,,
16122026021100003_027,,,
16122026021100003_028,,,
16122026021100003_029,,,
16122026021100003_030,,,
16122026021100003_031,,,
16122026021100003_032,,,
16122026021100003_033,,,
16122026021100003_034,,,
16122026021100003_035,,,
16122026021100003_036,,,
16122026021100003_037,,,
16122026021100003_038,,,
16122026021100003_039,,,
16122026021100003_040,,,
16122026021100003_041,,,
16122026021100003_042,,,
16122026021100003_043,,,
16122026021100003_044,,,
16122026021100003_045,,,
16122026021100003_046,,,
16122026021100003_047,,,
16122026021100003_048,,,
16122026021100003_049,,,
16122026021100003_050,,,
16122026021100003_051,,,
16122026021100003_052,,,
16122026021100003_053,,,
16122026021100003_054,,,
16122026021100003_055,,,
16122026021100003_056,,,
16122026021100003_057,,,
16122026021100003_058,,,
16122026021100003_059,,,
16122026021100003_060,,,
16122026021100003_061,,,
16122026021100003_062,,,
16122026021100003_063,,,
16122026021100003_064,,,
16122026021100003_065,,,
16122026021100003_066,,,
16122026021100003_067,,,
16122026021100003_068,,,
16122026021100003_069,,,
16122026021100003_070,,,
16122026021100003_071,,,
16122026021100003_072,,,
16122026021100003_073,,,
16122026021100003_074,,,
16122026021100003_075,,,
16122026021100003_076,,,
16122026021100003_077,,,
16122026021100003_078,,,
16122026021100003_079,,,
16122026021100003_080,,,
16122026021100003_081,,,
16122026021100003_082,,,
16122026021100003_083,,,
16122026021100003_084,,,
16122026021100003_085,,,
16122026021100003_086,,,
16122026021100003_087,,,
16122026021100003_088,,,
16122026021100003_089,,,
16122026021100003_090,,,
16122026021100003_091,,,
16122026021100003_092,,,
16122026021100003_093,,,
16122026021100003_094,,,
16122026021100003_095,,,
16122026021100003_096,,,
16122026021100003_097,,,
16122026021100003_098,,,
16122026021100003_099,,,
16122026021100003_100,,,
