자재바코드,검사일시,검사결과,비고
16122026021100513_001,2026-02-11 23:27:53,NG3,R전류, 소음 불량
16122026021100513_002,,,
16122026021100513_003,,,
16122026021100513_004,,,
16122026021100513_005,,,
16122026021100513_006,,,
16122026021100513_007,,,
16122026021100513_008,,,
16122026021100513_009,,,
16122026021100513_010,,,
16122026021100513_011,,,
16122026021100513_012,,,
16122026021100513_013,,,
16122026021100513_014,,,
16122026021100513_015,,,
16122026021100513_016,,,
16122026021100513_017,,,
16122026021100513_018,,,
16122026021100513_019,,,
16122026021100513_020,,,
16122026021100513_021,,,
16122026021100513_022,,,
16122026021100513_023,,,
16122026021100513_024,,,
16122026021100513_025,,,
16122026021100513_026,,,
16122026021100513_027,,,
16122026021100513_028,,,
16122026021100513_029,,,
16122026021100513_030,,,
16122026021100513_031,,,
16122026021100513_032,,,
16122026021100513_033,,,
16122026021100513_034,,,
16122026021100513_035,,,
16122026021100513_036,,,
16122026021100513_037,,,
16122026021100513_038,,,
16122026021100513_039,,,
16122026021100513_040,,,
16122026021100513_041,,,
16122026021100513_042,,,
16122026021100513_043,,,
16122026021100513_044,,,
16122026021100513_045,,,
16122026021100513_046,,,
16122026021100513_047,,,
16122026021100513_048,,,
16122026021100513_049,,,
16122026021100513_050,,,
16122026021100513_051,,,
16122026021100513_052,,,
16122026021100513_053,,,
16122026021100513_054,,,
16122026021100513_055,,,
16122026021100513_056,,,
16122026021100513_057,,,
16122026021100513_058,,,
16122026021100513_059,,,
16122026021100513_060,,,
16122026021100513_061,,,
16122026021100513_062,,,
16122026021100513_063,,,
16122026021100513_064,,,
16122026021100513_065,,,
16122026021100513_066,,,
16122026021100513_067,,,
16122026021100513_068,,,
16122026021100513_069,,,
16122026021100513_070,,,
16122026021100513_071,,,
16122026021100513_072,,,
16122026021100513_073,,,
16122026021100513_074,,,
16122026021100513_075,,,
16122026021100513_076,,,
16122026021100513_077,,,
16122026021100513_078,,,
16122026021100513_079,,,
16122026021100513_080,,,
16122026021100513_081,,,
16122026021100513_082,,,
16122026021100513_083,,,
16122026021100513_084,,,
16122026021100513_085,,,
16122026021100513_086,,,
16122026021100513_087,,,
16122026021100513_088,,,
16122026021100513_089,,,
16122026021100513_090,,,
16122026021100513_091,,,
16122026021100513_092,,,
16122026021100513_093,,,
16122026021100513_094,,,
16122026021100513_095,,,
16122026021100513_096,,,
16122026021100513_097,,,
16122026021100513_098,,,
16122026021100513_099,,,
16122026021100513_100,,,
