자재바코드,검사일시,검사결과,비고
15812026021100498_001,2026-02-11 23:41:53,NG1,R전류, S전류, T전류 불량
15812026021100498_002,2026-02-11 23:42:12,NG1,R전류, S전류, T전류 불량
15812026021100498_003,2026-02-11 23:42:31,NG1,R전류, S전류, T전류 불량
15812026021100498_004,,,
15812026021100498_005,,,
15812026021100498_006,,,
15812026021100498_007,,,
15812026021100498_008,,,
15812026021100498_009,,,
15812026021100498_010,,,
15812026021100498_011,,,
15812026021100498_012,,,
15812026021100498_013,,,
15812026021100498_014,,,
15812026021100498_015,,,
15812026021100498_016,,,
15812026021100498_017,,,
15812026021100498_018,,,
15812026021100498_019,,,
15812026021100498_020,,,
15812026021100498_021,,,
15812026021100498_022,,,
15812026021100498_023,,,
15812026021100498_024,,,
15812026021100498_025,,,
15812026021100498_026,,,
15812026021100498_027,,,
15812026021100498_028,,,
15812026021100498_029,,,
15812026021100498_030,,,
15812026021100498_031,,,
15812026021100498_032,,,
15812026021100498_033,,,
15812026021100498_034,,,
15812026021100498_035,,,
15812026021100498_036,,,
15812026021100498_037,,,
15812026021100498_038,,,
15812026021100498_039,,,
15812026021100498_040,,,
15812026021100498_041,,,
15812026021100498_042,,,
15812026021100498_043,,,
15812026021100498_044,,,
15812026021100498_045,,,
15812026021100498_046,,,
15812026021100498_047,,,
15812026021100498_048,,,
15812026021100498_049,,,
15812026021100498_050,,,
15812026021100498_051,,,
15812026021100498_052,,,
15812026021100498_053,,,
15812026021100498_054,,,
15812026021100498_055,,,
15812026021100498_056,,,
15812026021100498_057,,,
15812026021100498_058,,,
15812026021100498_059,,,
15812026021100498_060,,,
15812026021100498_061,,,
15812026021100498_062,,,
15812026021100498_063,,,
15812026021100498_064,,,
15812026021100498_065,,,
15812026021100498_066,,,
15812026021100498_067,,,
15812026021100498_068,,,
15812026021100498_069,,,
15812026021100498_070,,,
15812026021100498_071,,,
15812026021100498_072,,,
15812026021100498_073,,,
15812026021100498_074,,,
15812026021100498_075,,,
15812026021100498_076,,,
15812026021100498_077,,,
15812026021100498_078,,,
15812026021100498_079,,,
15812026021100498_080,,,
15812026021100498_081,,,
15812026021100498_082,,,
15812026021100498_083,,,
15812026021100498_084,,,
15812026021100498_085,,,
15812026021100498_086,,,
15812026021100498_087,,,
15812026021100498_088,,,
15812026021100498_089,,,
15812026021100498_090,,,
15812026021100498_091,,,
15812026021100498_092,,,
15812026021100498_093,,,
15812026021100498_094,,,
15812026021100498_095,,,
15812026021100498_096,,,
15812026021100498_097,,,
15812026021100498_098,,,
15812026021100498_099,,,
15812026021100498_100,,,
