자재바코드,검사일시,검사결과,비고
16122026021100519_001,2026-02-11 23:35:58,NG3,R전류, 소음 불량
16122026021100519_002,2026-02-11 23:36:17,NG3,R전류, 소음 불량
16122026021100519_003,2026-02-11 23:38:06,NG1,R전류 불량
16122026021100519_004,2026-02-11 23:38:23,NG3,R전류, 소음 불량
16122026021100519_005,,,
16122026021100519_006,,,
16122026021100519_007,,,
16122026021100519_008,,,
16122026021100519_009,,,
16122026021100519_010,,,
16122026021100519_011,,,
16122026021100519_012,,,
16122026021100519_013,,,
16122026021100519_014,,,
16122026021100519_015,,,
16122026021100519_016,,,
16122026021100519_017,,,
16122026021100519_018,,,
16122026021100519_019,,,
16122026021100519_020,,,
16122026021100519_021,,,
16122026021100519_022,,,
16122026021100519_023,,,
16122026021100519_024,,,
16122026021100519_025,,,
16122026021100519_026,,,
16122026021100519_027,,,
16122026021100519_028,,,
16122026021100519_029,,,
16122026021100519_030,,,
16122026021100519_031,,,
16122026021100519_032,,,
16122026021100519_033,,,
16122026021100519_034,,,
16122026021100519_035,,,
16122026021100519_036,,,
16122026021100519_037,,,
16122026021100519_038,,,
16122026021100519_039,,,
16122026021100519_040,,,
16122026021100519_041,,,
16122026021100519_042,,,
16122026021100519_043,,,
16122026021100519_044,,,
16122026021100519_045,,,
16122026021100519_046,,,
16122026021100519_047,,,
16122026021100519_048,,,
16122026021100519_049,,,
16122026021100519_050,,,
16122026021100519_051,,,
16122026021100519_052,,,
16122026021100519_053,,,
16122026021100519_054,,,
16122026021100519_055,,,
16122026021100519_056,,,
16122026021100519_057,,,
16122026021100519_058,,,
16122026021100519_059,,,
16122026021100519_060,,,
16122026021100519_061,,,
16122026021100519_062,,,
16122026021100519_063,,,
16122026021100519_064,,,
16122026021100519_065,,,
16122026021100519_066,,,
16122026021100519_067,,,
16122026021100519_068,,,
16122026021100519_069,,,
16122026021100519_070,,,
16122026021100519_071,,,
16122026021100519_072,,,
16122026021100519_073,,,
16122026021100519_074,,,
16122026021100519_075,,,
16122026021100519_076,,,
16122026021100519_077,,,
16122026021100519_078,,,
16122026021100519_079,,,
16122026021100519_080,,,
16122026021100519_081,,,
16122026021100519_082,,,
16122026021100519_083,,,
16122026021100519_084,,,
16122026021100519_085,,,
16122026021100519_086,,,
16122026021100519_087,,,
16122026021100519_088,,,
16122026021100519_089,,,
16122026021100519_090,,,
16122026021100519_091,,,
16122026021100519_092,,,
16122026021100519_093,,,
16122026021100519_094,,,
16122026021100519_095,,,
16122026021100519_096,,,
16122026021100519_097,,,
16122026021100519_098,,,
16122026021100519_099,,,
16122026021100519_100,,,
