자재바코드,검사일시,검사결과,비고
15532026021100605_001,2026-02-11 23:52:04,NG1,R전류, S전류, T전류 불량
15532026021100605_002,2026-02-11 23:52:26,NG1,R전류, S전류, T전류 불량
15532026021100605_003,2026-02-11 23:52:46,NG1,R전류, S전류, T전류 불량
15532026021100605_004,2026-02-11 23:53:09,NG1,R전류, S전류, T전류 불량
15532026021100605_005,,,
15532026021100605_006,,,
15532026021100605_007,,,
15532026021100605_008,,,
15532026021100605_009,,,
15532026021100605_010,,,
15532026021100605_011,,,
15532026021100605_012,,,
15532026021100605_013,,,
15532026021100605_014,,,
15532026021100605_015,,,
15532026021100605_016,,,
15532026021100605_017,,,
15532026021100605_018,,,
15532026021100605_019,,,
15532026021100605_020,,,
15532026021100605_021,,,
15532026021100605_022,,,
15532026021100605_023,,,
15532026021100605_024,,,
15532026021100605_025,,,
15532026021100605_026,,,
15532026021100605_027,,,
15532026021100605_028,,,
15532026021100605_029,,,
15532026021100605_030,,,
15532026021100605_031,,,
15532026021100605_032,,,
15532026021100605_033,,,
15532026021100605_034,,,
15532026021100605_035,,,
15532026021100605_036,,,
15532026021100605_037,,,
15532026021100605_038,,,
15532026021100605_039,,,
15532026021100605_040,,,
15532026021100605_041,,,
15532026021100605_042,,,
15532026021100605_043,,,
15532026021100605_044,,,
15532026021100605_045,,,
15532026021100605_046,,,
15532026021100605_047,,,
15532026021100605_048,,,
15532026021100605_049,,,
15532026021100605_050,,,
15532026021100605_051,,,
15532026021100605_052,,,
15532026021100605_053,,,
15532026021100605_054,,,
15532026021100605_055,,,
15532026021100605_056,,,
15532026021100605_057,,,
15532026021100605_058,,,
15532026021100605_059,,,
15532026021100605_060,,,
15532026021100605_061,,,
15532026021100605_062,,,
15532026021100605_063,,,
15532026021100605_064,,,
15532026021100605_065,,,
15532026021100605_066,,,
15532026021100605_067,,,
15532026021100605_068,,,
15532026021100605_069,,,
15532026021100605_070,,,
15532026021100605_071,,,
15532026021100605_072,,,
15532026021100605_073,,,
15532026021100605_074,,,
15532026021100605_075,,,
15532026021100605_076,,,
15532026021100605_077,,,
15532026021100605_078,,,
15532026021100605_079,,,
15532026021100605_080,,,
15532026021100605_081,,,
15532026021100605_082,,,
15532026021100605_083,,,
15532026021100605_084,,,
15532026021100605_085,,,
15532026021100605_086,,,
15532026021100605_087,,,
15532026021100605_088,,,
15532026021100605_089,,,
15532026021100605_090,,,
15532026021100605_091,,,
15532026021100605_092,,,
15532026021100605_093,,,
15532026021100605_094,,,
15532026021100605_095,,,
15532026021100605_096,,,
15532026021100605_097,,,
15532026021100605_098,,,
15532026021100605_099,,,
15532026021100605_100,,,
