자재바코드,검사일시,검사결과,비고
16122026021100578_001,2026-02-11 21:15:44,NG1,R전류 불량
16122026021100578_002,2026-02-11 21:16:00,NG1,R전류 불량
16122026021100578_003,2026-02-11 21:17:51,NG1,R전류 불량
16122026021100578_004,2026-02-11 21:18:06,NG1,R전류 불량
16122026021100578_005,,,
16122026021100578_006,,,
16122026021100578_007,,,
16122026021100578_008,,,
16122026021100578_009,,,
16122026021100578_010,,,
16122026021100578_011,,,
16122026021100578_012,,,
16122026021100578_013,,,
16122026021100578_014,,,
16122026021100578_015,,,
16122026021100578_016,,,
16122026021100578_017,,,
16122026021100578_018,,,
16122026021100578_019,,,
16122026021100578_020,,,
16122026021100578_021,,,
16122026021100578_022,,,
16122026021100578_023,,,
16122026021100578_024,,,
16122026021100578_025,,,
16122026021100578_026,,,
16122026021100578_027,,,
16122026021100578_028,,,
16122026021100578_029,,,
16122026021100578_030,,,
16122026021100578_031,,,
16122026021100578_032,,,
16122026021100578_033,,,
16122026021100578_034,,,
16122026021100578_035,,,
16122026021100578_036,,,
16122026021100578_037,,,
16122026021100578_038,,,
16122026021100578_039,,,
16122026021100578_040,,,
16122026021100578_041,,,
16122026021100578_042,,,
16122026021100578_043,,,
16122026021100578_044,,,
16122026021100578_045,,,
16122026021100578_046,,,
16122026021100578_047,,,
16122026021100578_048,,,
16122026021100578_049,,,
16122026021100578_050,,,
16122026021100578_051,,,
16122026021100578_052,,,
16122026021100578_053,,,
16122026021100578_054,,,
16122026021100578_055,,,
16122026021100578_056,,,
16122026021100578_057,,,
16122026021100578_058,,,
16122026021100578_059,,,
16122026021100578_060,,,
16122026021100578_061,,,
16122026021100578_062,,,
16122026021100578_063,,,
16122026021100578_064,,,
16122026021100578_065,,,
16122026021100578_066,,,
16122026021100578_067,,,
16122026021100578_068,,,
16122026021100578_069,,,
16122026021100578_070,,,
16122026021100578_071,,,
16122026021100578_072,,,
16122026021100578_073,,,
16122026021100578_074,,,
16122026021100578_075,,,
16122026021100578_076,,,
16122026021100578_077,,,
16122026021100578_078,,,
16122026021100578_079,,,
16122026021100578_080,,,
16122026021100578_081,,,
16122026021100578_082,,,
16122026021100578_083,,,
16122026021100578_084,,,
16122026021100578_085,,,
16122026021100578_086,,,
16122026021100578_087,,,
16122026021100578_088,,,
16122026021100578_089,,,
16122026021100578_090,,,
16122026021100578_091,,,
16122026021100578_092,,,
16122026021100578_093,,,
16122026021100578_094,,,
16122026021100578_095,,,
16122026021100578_096,,,
16122026021100578_097,,,
16122026021100578_098,,,
16122026021100578_099,,,
16122026021100578_100,,,
