자재바코드,검사일시,검사결과,비고
11002026021400976_001,2026-02-14 16:22:07,NG3,R전류, 소음 불량
11002026021400976_002,2026-02-14 16:22:36,NG3,R전류, 소음 불량
11002026021400976_003,,,
11002026021400976_004,,,
11002026021400976_005,,,
11002026021400976_006,,,
11002026021400976_007,,,
11002026021400976_008,,,
11002026021400976_009,,,
11002026021400976_010,,,
11002026021400976_011,,,
11002026021400976_012,,,
11002026021400976_013,,,
11002026021400976_014,,,
11002026021400976_015,,,
11002026021400976_016,,,
11002026021400976_017,,,
11002026021400976_018,,,
11002026021400976_019,,,
11002026021400976_020,,,
11002026021400976_021,,,
11002026021400976_022,,,
11002026021400976_023,,,
11002026021400976_024,,,
11002026021400976_025,,,
11002026021400976_026,,,
11002026021400976_027,,,
11002026021400976_028,,,
11002026021400976_029,,,
11002026021400976_030,,,
11002026021400976_031,,,
11002026021400976_032,,,
11002026021400976_033,,,
11002026021400976_034,,,
11002026021400976_035,,,
11002026021400976_036,,,
11002026021400976_037,,,
11002026021400976_038,,,
11002026021400976_039,,,
11002026021400976_040,,,
11002026021400976_041,,,
11002026021400976_042,,,
11002026021400976_043,,,
11002026021400976_044,,,
11002026021400976_045,,,
11002026021400976_046,,,
11002026021400976_047,,,
11002026021400976_048,,,
11002026021400976_049,,,
11002026021400976_050,,,
11002026021400976_051,,,
11002026021400976_052,,,
11002026021400976_053,,,
11002026021400976_054,,,
11002026021400976_055,,,
11002026021400976_056,,,
11002026021400976_057,,,
11002026021400976_058,,,
11002026021400976_059,,,
11002026021400976_060,,,
11002026021400976_061,,,
11002026021400976_062,,,
11002026021400976_063,,,
11002026021400976_064,,,
11002026021400976_065,,,
11002026021400976_066,,,
11002026021400976_067,,,
11002026021400976_068,,,
11002026021400976_069,,,
11002026021400976_070,,,
11002026021400976_071,,,
11002026021400976_072,,,
11002026021400976_073,,,
11002026021400976_074,,,
11002026021400976_075,,,
11002026021400976_076,,,
11002026021400976_077,,,
11002026021400976_078,,,
11002026021400976_079,,,
11002026021400976_080,,,
11002026021400976_081,,,
11002026021400976_082,,,
11002026021400976_083,,,
11002026021400976_084,,,
11002026021400976_085,,,
11002026021400976_086,,,
11002026021400976_087,,,
11002026021400976_088,,,
11002026021400976_089,,,
11002026021400976_090,,,
11002026021400976_091,,,
11002026021400976_092,,,
11002026021400976_093,,,
11002026021400976_094,,,
11002026021400976_095,,,
11002026021400976_096,,,
11002026021400976_097,,,
11002026021400976_098,,,
11002026021400976_099,,,
11002026021400976_100,,,
