자재바코드,검사일시,검사결과,비고
13032026021400599_001,2026-02-14 10:52:10,NG1,R전류 불량
13032026021400599_002,2026-02-14 10:53:14,NG1,R전류 불량
13032026021400599_003,,,
13032026021400599_004,,,
13032026021400599_005,,,
13032026021400599_006,,,
13032026021400599_007,,,
13032026021400599_008,,,
13032026021400599_009,,,
13032026021400599_010,,,
13032026021400599_011,,,
13032026021400599_012,,,
13032026021400599_013,,,
13032026021400599_014,,,
13032026021400599_015,,,
13032026021400599_016,,,
13032026021400599_017,,,
13032026021400599_018,,,
13032026021400599_019,,,
13032026021400599_020,,,
13032026021400599_021,,,
13032026021400599_022,,,
13032026021400599_023,,,
13032026021400599_024,,,
13032026021400599_025,,,
13032026021400599_026,,,
13032026021400599_027,,,
13032026021400599_028,,,
13032026021400599_029,,,
13032026021400599_030,,,
13032026021400599_031,,,
13032026021400599_032,,,
13032026021400599_033,,,
13032026021400599_034,,,
13032026021400599_035,,,
13032026021400599_036,,,
13032026021400599_037,,,
13032026021400599_038,,,
13032026021400599_039,,,
13032026021400599_040,,,
13032026021400599_041,,,
13032026021400599_042,,,
13032026021400599_043,,,
13032026021400599_044,,,
13032026021400599_045,,,
13032026021400599_046,,,
13032026021400599_047,,,
13032026021400599_048,,,
13032026021400599_049,,,
13032026021400599_050,,,
13032026021400599_051,,,
13032026021400599_052,,,
13032026021400599_053,,,
13032026021400599_054,,,
13032026021400599_055,,,
13032026021400599_056,,,
13032026021400599_057,,,
13032026021400599_058,,,
13032026021400599_059,,,
13032026021400599_060,,,
13032026021400599_061,,,
13032026021400599_062,,,
13032026021400599_063,,,
13032026021400599_064,,,
13032026021400599_065,,,
13032026021400599_066,,,
13032026021400599_067,,,
13032026021400599_068,,,
13032026021400599_069,,,
13032026021400599_070,,,
13032026021400599_071,,,
13032026021400599_072,,,
13032026021400599_073,,,
13032026021400599_074,,,
13032026021400599_075,,,
13032026021400599_076,,,
13032026021400599_077,,,
13032026021400599_078,,,
13032026021400599_079,,,
13032026021400599_080,,,
13032026021400599_081,,,
13032026021400599_082,,,
13032026021400599_083,,,
13032026021400599_084,,,
13032026021400599_085,,,
13032026021400599_086,,,
13032026021400599_087,,,
13032026021400599_088,,,
13032026021400599_089,,,
13032026021400599_090,,,
13032026021400599_091,,,
13032026021400599_092,,,
13032026021400599_093,,,
13032026021400599_094,,,
13032026021400599_095,,,
13032026021400599_096,,,
13032026021400599_097,,,
13032026021400599_098,,,
13032026021400599_099,,,
13032026021400599_100,,,
