자재바코드,검사일시,검사결과,비고
11002026021400620_001,2026-02-14 17:51:53,NG3,R전류, 소음 불량
11002026021400620_002,2026-02-14 18:07:26,NG1,R전류 불량
11002026021400620_003,2026-02-14 18:09:05,NG3,R전류, 소음 불량
11002026021400620_004,2026-02-14 18:09:26,NG3,R전류, 소음 불량
11002026021400620_005,,,
11002026021400620_006,,,
11002026021400620_007,,,
11002026021400620_008,,,
11002026021400620_009,,,
11002026021400620_010,,,
11002026021400620_011,,,
11002026021400620_012,,,
11002026021400620_013,,,
11002026021400620_014,,,
11002026021400620_015,,,
11002026021400620_016,,,
11002026021400620_017,,,
11002026021400620_018,,,
11002026021400620_019,,,
11002026021400620_020,,,
11002026021400620_021,,,
11002026021400620_022,,,
11002026021400620_023,,,
11002026021400620_024,,,
11002026021400620_025,,,
11002026021400620_026,,,
11002026021400620_027,,,
11002026021400620_028,,,
11002026021400620_029,,,
11002026021400620_030,,,
11002026021400620_031,,,
11002026021400620_032,,,
11002026021400620_033,,,
11002026021400620_034,,,
11002026021400620_035,,,
11002026021400620_036,,,
11002026021400620_037,,,
11002026021400620_038,,,
11002026021400620_039,,,
11002026021400620_040,,,
11002026021400620_041,,,
11002026021400620_042,,,
11002026021400620_043,,,
11002026021400620_044,,,
11002026021400620_045,,,
11002026021400620_046,,,
11002026021400620_047,,,
11002026021400620_048,,,
11002026021400620_049,,,
11002026021400620_050,,,
11002026021400620_051,,,
11002026021400620_052,,,
11002026021400620_053,,,
11002026021400620_054,,,
11002026021400620_055,,,
11002026021400620_056,,,
11002026021400620_057,,,
11002026021400620_058,,,
11002026021400620_059,,,
11002026021400620_060,,,
11002026021400620_061,,,
11002026021400620_062,,,
11002026021400620_063,,,
11002026021400620_064,,,
11002026021400620_065,,,
11002026021400620_066,,,
11002026021400620_067,,,
11002026021400620_068,,,
11002026021400620_069,,,
11002026021400620_070,,,
11002026021400620_071,,,
11002026021400620_072,,,
11002026021400620_073,,,
11002026021400620_074,,,
11002026021400620_075,,,
11002026021400620_076,,,
11002026021400620_077,,,
11002026021400620_078,,,
11002026021400620_079,,,
11002026021400620_080,,,
11002026021400620_081,,,
11002026021400620_082,,,
11002026021400620_083,,,
11002026021400620_084,,,
11002026021400620_085,,,
11002026021400620_086,,,
11002026021400620_087,,,
11002026021400620_088,,,
11002026021400620_089,,,
11002026021400620_090,,,
11002026021400620_091,,,
11002026021400620_092,,,
11002026021400620_093,,,
11002026021400620_094,,,
11002026021400620_095,,,
11002026021400620_096,,,
11002026021400620_097,,,
11002026021400620_098,,,
11002026021400620_099,,,
11002026021400620_100,,,
