자재바코드,검사일시,검사결과,비고
11002026021400386_001,2026-02-14 20:02:33,NG3,R전류, 소음 불량
11002026021400386_002,2026-02-14 20:04:07,NG3,R전류, 소음 불량
11002026021400386_003,2026-02-14 20:04:38,NG3,R전류, 소음 불량
11002026021400386_004,2026-02-14 20:04:54,NG3,R전류, 소음 불량
11002026021400386_005,2026-02-14 20:05:11,NG3,R전류, 소음 불량
11002026021400386_006,2026-02-14 20:05:24,NG3,R전류, 소음 불량
11002026021400386_007,2026-02-14 20:06:44,NG3,R전류, 소음 불량
11002026021400386_008,2026-02-14 20:06:56,NG3,R전류, 소음 불량
11002026021400386_009,2026-02-14 20:07:55,NG3,R전류, 소음 불량
11002026021400386_010,,,
11002026021400386_011,,,
11002026021400386_012,,,
11002026021400386_013,,,
11002026021400386_014,,,
11002026021400386_015,,,
11002026021400386_016,,,
11002026021400386_017,,,
11002026021400386_018,,,
11002026021400386_019,,,
11002026021400386_020,,,
11002026021400386_021,,,
11002026021400386_022,,,
11002026021400386_023,,,
11002026021400386_024,,,
11002026021400386_025,,,
11002026021400386_026,,,
11002026021400386_027,,,
11002026021400386_028,,,
11002026021400386_029,,,
11002026021400386_030,,,
11002026021400386_031,,,
11002026021400386_032,,,
11002026021400386_033,,,
11002026021400386_034,,,
11002026021400386_035,,,
11002026021400386_036,,,
11002026021400386_037,,,
11002026021400386_038,,,
11002026021400386_039,,,
11002026021400386_040,,,
11002026021400386_041,,,
11002026021400386_042,,,
11002026021400386_043,,,
11002026021400386_044,,,
11002026021400386_045,,,
11002026021400386_046,,,
11002026021400386_047,,,
11002026021400386_048,,,
11002026021400386_049,,,
11002026021400386_050,,,
11002026021400386_051,,,
11002026021400386_052,,,
11002026021400386_053,,,
11002026021400386_054,,,
11002026021400386_055,,,
11002026021400386_056,,,
11002026021400386_057,,,
11002026021400386_058,,,
11002026021400386_059,,,
11002026021400386_060,,,
11002026021400386_061,,,
11002026021400386_062,,,
11002026021400386_063,,,
11002026021400386_064,,,
11002026021400386_065,,,
11002026021400386_066,,,
11002026021400386_067,,,
11002026021400386_068,,,
11002026021400386_069,,,
11002026021400386_070,,,
11002026021400386_071,,,
11002026021400386_072,,,
11002026021400386_073,,,
11002026021400386_074,,,
11002026021400386_075,,,
11002026021400386_076,,,
11002026021400386_077,,,
11002026021400386_078,,,
11002026021400386_079,,,
11002026021400386_080,,,
11002026021400386_081,,,
11002026021400386_082,,,
11002026021400386_083,,,
11002026021400386_084,,,
11002026021400386_085,,,
11002026021400386_086,,,
11002026021400386_087,,,
11002026021400386_088,,,
11002026021400386_089,,,
11002026021400386_090,,,
11002026021400386_091,,,
11002026021400386_092,,,
11002026021400386_093,,,
11002026021400386_094,,,
11002026021400386_095,,,
11002026021400386_096,,,
11002026021400386_097,,,
11002026021400386_098,,,
11002026021400386_099,,,
11002026021400386_100,,,
