자재바코드,검사일시,검사결과,비고
14512026021200206_001,2026-02-12 01:28:41,NG1,R전류, S전류, T전류 불량
14512026021200206_002,2026-02-12 01:29:00,NG1,R전류, S전류, T전류 불량
14512026021200206_003,2026-02-12 01:30:11,NG1,R전류, S전류, T전류 불량
14512026021200206_004,,,
14512026021200206_005,,,
14512026021200206_006,,,
14512026021200206_007,,,
14512026021200206_008,,,
14512026021200206_009,,,
14512026021200206_010,,,
14512026021200206_011,,,
14512026021200206_012,,,
14512026021200206_013,,,
14512026021200206_014,,,
14512026021200206_015,,,
14512026021200206_016,,,
14512026021200206_017,,,
14512026021200206_018,,,
14512026021200206_019,,,
14512026021200206_020,,,
14512026021200206_021,,,
14512026021200206_022,,,
14512026021200206_023,,,
14512026021200206_024,,,
14512026021200206_025,,,
14512026021200206_026,,,
14512026021200206_027,,,
14512026021200206_028,,,
14512026021200206_029,,,
14512026021200206_030,,,
14512026021200206_031,,,
14512026021200206_032,,,
14512026021200206_033,,,
14512026021200206_034,,,
14512026021200206_035,,,
14512026021200206_036,,,
14512026021200206_037,,,
14512026021200206_038,,,
14512026021200206_039,,,
14512026021200206_040,,,
14512026021200206_041,,,
14512026021200206_042,,,
14512026021200206_043,,,
14512026021200206_044,,,
14512026021200206_045,,,
14512026021200206_046,,,
14512026021200206_047,,,
14512026021200206_048,,,
14512026021200206_049,,,
14512026021200206_050,,,
14512026021200206_051,,,
14512026021200206_052,,,
14512026021200206_053,,,
14512026021200206_054,,,
14512026021200206_055,,,
14512026021200206_056,,,
14512026021200206_057,,,
14512026021200206_058,,,
14512026021200206_059,,,
14512026021200206_060,,,
14512026021200206_061,,,
14512026021200206_062,,,
14512026021200206_063,,,
14512026021200206_064,,,
14512026021200206_065,,,
14512026021200206_066,,,
14512026021200206_067,,,
14512026021200206_068,,,
14512026021200206_069,,,
14512026021200206_070,,,
14512026021200206_071,,,
14512026021200206_072,,,
14512026021200206_073,,,
14512026021200206_074,,,
14512026021200206_075,,,
14512026021200206_076,,,
14512026021200206_077,,,
14512026021200206_078,,,
14512026021200206_079,,,
14512026021200206_080,,,
14512026021200206_081,,,
14512026021200206_082,,,
14512026021200206_083,,,
14512026021200206_084,,,
14512026021200206_085,,,
14512026021200206_086,,,
14512026021200206_087,,,
14512026021200206_088,,,
14512026021200206_089,,,
14512026021200206_090,,,
14512026021200206_091,,,
14512026021200206_092,,,
14512026021200206_093,,,
14512026021200206_094,,,
14512026021200206_095,,,
14512026021200206_096,,,
14512026021200206_097,,,
14512026021200206_098,,,
14512026021200206_099,,,
14512026021200206_100,,,
