자재바코드,검사일시,검사결과,비고
13032026021200805_001,2026-02-12 17:12:05,NG1,R전류 불량
13032026021200805_002,2026-02-12 17:12:28,NG1,R전류 불량
13032026021200805_003,2026-02-12 17:13:41,NG1,R전류 불량
13032026021200805_004,2026-02-12 17:14:10,NG1,R전류 불량
13032026021200805_005,,,
13032026021200805_006,,,
13032026021200805_007,,,
13032026021200805_008,,,
13032026021200805_009,,,
13032026021200805_010,,,
13032026021200805_011,,,
13032026021200805_012,,,
13032026021200805_013,,,
13032026021200805_014,,,
13032026021200805_015,,,
13032026021200805_016,,,
13032026021200805_017,,,
13032026021200805_018,,,
13032026021200805_019,,,
13032026021200805_020,,,
13032026021200805_021,,,
13032026021200805_022,,,
13032026021200805_023,,,
13032026021200805_024,,,
13032026021200805_025,,,
13032026021200805_026,,,
13032026021200805_027,,,
13032026021200805_028,,,
13032026021200805_029,,,
13032026021200805_030,,,
13032026021200805_031,,,
13032026021200805_032,,,
13032026021200805_033,,,
13032026021200805_034,,,
13032026021200805_035,,,
13032026021200805_036,,,
13032026021200805_037,,,
13032026021200805_038,,,
13032026021200805_039,,,
13032026021200805_040,,,
13032026021200805_041,,,
13032026021200805_042,,,
13032026021200805_043,,,
13032026021200805_044,,,
13032026021200805_045,,,
13032026021200805_046,,,
13032026021200805_047,,,
13032026021200805_048,,,
13032026021200805_049,,,
13032026021200805_050,,,
13032026021200805_051,,,
13032026021200805_052,,,
13032026021200805_053,,,
13032026021200805_054,,,
13032026021200805_055,,,
13032026021200805_056,,,
13032026021200805_057,,,
13032026021200805_058,,,
13032026021200805_059,,,
13032026021200805_060,,,
13032026021200805_061,,,
13032026021200805_062,,,
13032026021200805_063,,,
13032026021200805_064,,,
13032026021200805_065,,,
13032026021200805_066,,,
13032026021200805_067,,,
13032026021200805_068,,,
13032026021200805_069,,,
13032026021200805_070,,,
13032026021200805_071,,,
13032026021200805_072,,,
13032026021200805_073,,,
13032026021200805_074,,,
13032026021200805_075,,,
13032026021200805_076,,,
13032026021200805_077,,,
13032026021200805_078,,,
13032026021200805_079,,,
13032026021200805_080,,,
13032026021200805_081,,,
13032026021200805_082,,,
13032026021200805_083,,,
13032026021200805_084,,,
13032026021200805_085,,,
13032026021200805_086,,,
13032026021200805_087,,,
13032026021200805_088,,,
13032026021200805_089,,,
13032026021200805_090,,,
13032026021200805_091,,,
13032026021200805_092,,,
13032026021200805_093,,,
13032026021200805_094,,,
13032026021200805_095,,,
13032026021200805_096,,,
13032026021200805_097,,,
13032026021200805_098,,,
13032026021200805_099,,,
13032026021200805_100,,,
13032026021200805_001,,,
13032026021200805_002,,,
13032026021200805_003,,,
13032026021200805_004,,,
13032026021200805_005,,,
13032026021200805_006,,,
13032026021200805_007,,,
13032026021200805_008,,,
13032026021200805_009,,,
13032026021200805_010,,,
13032026021200805_011,,,
13032026021200805_012,,,
13032026021200805_013,,,
13032026021200805_014,,,
13032026021200805_015,,,
13032026021200805_016,,,
13032026021200805_017,,,
13032026021200805_018,,,
13032026021200805_019,,,
13032026021200805_020,,,
13032026021200805_021,,,
13032026021200805_022,,,
13032026021200805_023,,,
13032026021200805_024,,,
13032026021200805_025,,,
13032026021200805_026,,,
13032026021200805_027,,,
13032026021200805_028,,,
13032026021200805_029,,,
13032026021200805_030,,,
13032026021200805_031,,,
13032026021200805_032,,,
13032026021200805_033,,,
13032026021200805_034,,,
13032026021200805_035,,,
13032026021200805_036,,,
13032026021200805_037,,,
13032026021200805_038,,,
13032026021200805_039,,,
13032026021200805_040,,,
13032026021200805_041,,,
13032026021200805_042,,,
13032026021200805_043,,,
13032026021200805_044,,,
13032026021200805_045,,,
13032026021200805_046,,,
13032026021200805_047,,,
13032026021200805_048,,,
13032026021200805_049,,,
13032026021200805_050,,,
13032026021200805_051,,,
13032026021200805_052,,,
13032026021200805_053,,,
13032026021200805_054,,,
13032026021200805_055,,,
13032026021200805_056,,,
13032026021200805_057,,,
13032026021200805_058,,,
13032026021200805_059,,,
13032026021200805_060,,,
13032026021200805_061,,,
13032026021200805_062,,,
13032026021200805_063,,,
13032026021200805_064,,,
13032026021200805_065,,,
13032026021200805_066,,,
13032026021200805_067,,,
13032026021200805_068,,,
13032026021200805_069,,,
13032026021200805_070,,,
13032026021200805_071,,,
13032026021200805_072,,,
13032026021200805_073,,,
13032026021200805_074,,,
13032026021200805_075,,,
13032026021200805_076,,,
13032026021200805_077,,,
13032026021200805_078,,,
13032026021200805_079,,,
13032026021200805_080,,,
13032026021200805_081,,,
13032026021200805_082,,,
13032026021200805_083,,,
13032026021200805_084,,,
13032026021200805_085,,,
13032026021200805_086,,,
13032026021200805_087,,,
13032026021200805_088,,,
13032026021200805_089,,,
13032026021200805_090,,,
13032026021200805_091,,,
13032026021200805_092,,,
13032026021200805_093,,,
13032026021200805_094,,,
13032026021200805_095,,,
13032026021200805_096,,,
13032026021200805_097,,,
13032026021200805_098,,,
13032026021200805_099,,,
13032026021200805_100,,,
