자재바코드,검사일시,검사결과,비고
14802026021200031_001,2026-02-12 01:40:46,NG1,R전류, S전류, T전류 불량
14802026021200031_002,2026-02-12 01:41:03,NG1,R전류, S전류, T전류 불량
14802026021200031_003,,,
14802026021200031_004,,,
14802026021200031_005,,,
14802026021200031_006,,,
14802026021200031_007,,,
14802026021200031_008,,,
14802026021200031_009,,,
14802026021200031_010,,,
14802026021200031_011,,,
14802026021200031_012,,,
14802026021200031_013,,,
14802026021200031_014,,,
14802026021200031_015,,,
14802026021200031_016,,,
14802026021200031_017,,,
14802026021200031_018,,,
14802026021200031_019,,,
14802026021200031_020,,,
14802026021200031_021,,,
14802026021200031_022,,,
14802026021200031_023,,,
14802026021200031_024,,,
14802026021200031_025,,,
14802026021200031_026,,,
14802026021200031_027,,,
14802026021200031_028,,,
14802026021200031_029,,,
14802026021200031_030,,,
14802026021200031_031,,,
14802026021200031_032,,,
14802026021200031_033,,,
14802026021200031_034,,,
14802026021200031_035,,,
14802026021200031_036,,,
14802026021200031_037,,,
14802026021200031_038,,,
14802026021200031_039,,,
14802026021200031_040,,,
14802026021200031_041,,,
14802026021200031_042,,,
14802026021200031_043,,,
14802026021200031_044,,,
14802026021200031_045,,,
14802026021200031_046,,,
14802026021200031_047,,,
14802026021200031_048,,,
14802026021200031_049,,,
14802026021200031_050,,,
14802026021200031_051,,,
14802026021200031_052,,,
14802026021200031_053,,,
14802026021200031_054,,,
14802026021200031_055,,,
14802026021200031_056,,,
14802026021200031_057,,,
14802026021200031_058,,,
14802026021200031_059,,,
14802026021200031_060,,,
14802026021200031_061,,,
14802026021200031_062,,,
14802026021200031_063,,,
14802026021200031_064,,,
14802026021200031_065,,,
14802026021200031_066,,,
14802026021200031_067,,,
14802026021200031_068,,,
14802026021200031_069,,,
14802026021200031_070,,,
14802026021200031_071,,,
14802026021200031_072,,,
14802026021200031_073,,,
14802026021200031_074,,,
14802026021200031_075,,,
14802026021200031_076,,,
14802026021200031_077,,,
14802026021200031_078,,,
14802026021200031_079,,,
14802026021200031_080,,,
14802026021200031_081,,,
14802026021200031_082,,,
14802026021200031_083,,,
14802026021200031_084,,,
14802026021200031_085,,,
14802026021200031_086,,,
14802026021200031_087,,,
14802026021200031_088,,,
14802026021200031_089,,,
14802026021200031_090,,,
14802026021200031_091,,,
14802026021200031_092,,,
14802026021200031_093,,,
14802026021200031_094,,,
14802026021200031_095,,,
14802026021200031_096,,,
14802026021200031_097,,,
14802026021200031_098,,,
14802026021200031_099,,,
14802026021200031_100,,,
