자재바코드,검사일시,검사결과,비고
16592026021200178_001,,,
16592026021200178_002,,,
16592026021200178_003,,,
16592026021200178_004,,,
16592026021200178_005,,,
16592026021200178_006,,,
16592026021200178_007,,,
16592026021200178_008,,,
16592026021200178_009,,,
16592026021200178_010,,,
26142026021200457_011,,,
26142026021200457_012,,,
26142026021200457_013,,,
26142026021200457_014,,,
26142026021200457_015,,,
26142026021200457_016,,,
26142026021200457_017,,,
26142026021200457_018,,,
26142026021200457_019,,,
26142026021200457_020,,,
16892026021200609_021,,,
16892026021200609_022,,,
16892026021200609_023,,,
16892026021200609_024,,,
16892026021200609_025,,,
16892026021200609_026,,,
16892026021200609_027,,,
16892026021200609_028,,,
16892026021200609_029,,,
16892026021200609_030,,,
16602026021200398_031,,,
16602026021200398_032,,,
16602026021200398_033,,,
16602026021200398_034,,,
16602026021200398_035,,,
16602026021200398_036,,,
16602026021200398_037,,,
16602026021200398_038,,,
16602026021200398_039,,,
16602026021200398_040,,,
15532026021200988_041,,,
15532026021200988_042,,,
15532026021200988_043,,,
15532026021200988_044,,,
15532026021200988_045,,,
15532026021200988_046,,,
15532026021200988_047,,,
15532026021200988_048,,,
15532026021200988_049,,,
15532026021200988_050,,,
16122026021200571_051,,,
16122026021200571_052,,,
16122026021200571_053,,,
16122026021200571_054,,,
16122026021200571_055,,,
16122026021200571_056,,,
16122026021200571_057,,,
16122026021200571_058,,,
16122026021200571_059,,,
16122026021200571_060,,,
16082026021200692_061,,,
16082026021200692_062,,,
16082026021200692_063,,,
16082026021200692_064,,,
16082026021200692_065,,,
16082026021200692_066,,,
16082026021200692_067,,,
16082026021200692_068,,,
16082026021200692_069,,,
16082026021200692_070,,,
26602026021200230_071,,,
26602026021200230_072,,,
26602026021200230_073,,,
26602026021200230_074,,,
26602026021200230_075,,,
26602026021200230_076,,,
26602026021200230_077,,,
26602026021200230_078,,,
26602026021200230_079,,,
26602026021200230_080,,,
26612026021200804_081,,,
26612026021200804_082,,,
26612026021200804_083,,,
26612026021200804_084,,,
26612026021200804_085,,,
26612026021200804_086,,,
26612026021200804_087,,,
26612026021200804_088,,,
26612026021200804_089,,,
26612026021200804_090,,,
15812026021200786_091,,,
15812026021200786_092,,,
15812026021200786_093,,,
15812026021200786_094,,,
15812026021200786_095,,,
15812026021200786_096,,,
15812026021200786_097,,,
15812026021200786_098,,,
15812026021200786_099,,,
15812026021200786_100,,,
16622026021200563_101,,,
16622026021200563_102,,,
16622026021200563_103,,,
16622026021200563_104,,,
16622026021200563_105,,,
16622026021200563_106,,,
16622026021200563_107,,,
16622026021200563_108,,,
16622026021200563_109,,,
16622026021200563_110,,,
25092026021200124_111,,,
25092026021200124_112,,,
25092026021200124_113,,,
25092026021200124_114,,,
25092026021200124_115,,,
25092026021200124_116,,,
25092026021200124_117,,,
25092026021200124_118,,,
25092026021200124_119,,,
25092026021200124_120,,,
23032026021200544_121,,,
23032026021200544_122,,,
23032026021200544_123,,,
23032026021200544_124,,,
23032026021200544_125,,,
23032026021200544_126,,,
23032026021200544_127,,,
23032026021200544_128,,,
23032026021200544_129,,,
23032026021200544_130,,,
26572026021200147_131,,,
26572026021200147_132,,,
26572026021200147_133,,,
26572026021200147_134,,,
26572026021200147_135,,,
26572026021200147_136,,,
26572026021200147_137,,,
26572026021200147_138,,,
26572026021200147_139,,,
26572026021200147_140,,,
16142026021200586_141,,,
16142026021200586_142,,,
16142026021200586_143,,,
16142026021200586_144,,,
16142026021200586_145,,,
16142026021200586_146,,,
16142026021200586_147,,,
16142026021200586_148,,,
16142026021200586_149,,,
16142026021200586_150,,,
26532026021200917_151,,,
26532026021200917_152,,,
26532026021200917_153,,,
26532026021200917_154,,,
26532026021200917_155,,,
26532026021200917_156,,,
26532026021200917_157,,,
26532026021200917_158,,,
26532026021200917_159,,,
26532026021200917_160,,,
15522026021200860_161,,,
15522026021200860_162,,,
15522026021200860_163,,,
15522026021200860_164,,,
15522026021200860_165,,,
15522026021200860_166,,,
15522026021200860_167,,,
15522026021200860_168,,,
15522026021200860_169,,,
15522026021200860_170,,,
15062026021200204_171,2026-02-12 01:01:36,NG1,R전류 불량
15062026021200204_172,,,
15062026021200204_173,,,
15062026021200204_174,,,
15062026021200204_175,,,
15062026021200204_176,,,
15062026021200204_177,,,
15062026021200204_178,,,
15062026021200204_179,,,
15062026021200204_180,,,
16162026021200861_181,,,
16162026021200861_182,,,
16162026021200861_183,,,
16162026021200861_184,,,
16162026021200861_185,,,
16162026021200861_186,,,
16162026021200861_187,,,
16162026021200861_188,,,
16162026021200861_189,,,
16162026021200861_190,,,
16192026021200055_191,,,
16192026021200055_192,,,
16192026021200055_193,,,
16192026021200055_194,,,
16192026021200055_195,,,
16192026021200055_196,,,
16192026021200055_197,,,
16192026021200055_198,,,
16192026021200055_199,,,
16192026021200055_200,,,
16132026021200600_201,,,
16132026021200600_202,,,
16132026021200600_203,,,
16132026021200600_204,,,
16132026021200600_205,,,
16132026021200600_206,,,
16132026021200600_207,,,
16132026021200600_208,,,
16132026021200600_209,,,
16132026021200600_210,,,
16862026021200079_211,,,
16862026021200079_212,,,
16862026021200079_213,,,
16862026021200079_214,,,
16862026021200079_215,,,
16862026021200079_216,,,
16862026021200079_217,,,
16862026021200079_218,,,
16862026021200079_219,,,
16862026021200079_220,,,
22022026021200519_221,,,
22022026021200519_222,,,
22022026021200519_223,,,
22022026021200519_224,,,
22022026021200519_225,,,
22022026021200519_226,,,
22022026021200519_227,,,
22022026021200519_228,,,
22022026021200519_229,,,
22022026021200519_230,,,
23042026021200983_231,,,
23042026021200983_232,,,
23042026021200983_233,,,
23042026021200983_234,,,
23042026021200983_235,,,
23042026021200983_236,,,
23042026021200983_237,,,
23042026021200983_238,,,
23042026021200983_239,,,
23042026021200983_240,,,
16172026021200698_241,,,
16172026021200698_242,,,
16172026021200698_243,,,
16172026021200698_244,,,
16172026021200698_245,,,
16172026021200698_246,,,
16172026021200698_247,,,
16172026021200698_248,,,
16172026021200698_249,,,
16172026021200698_250,,,
16572026021200183_251,,,
16572026021200183_252,,,
16572026021200183_253,,,
16572026021200183_254,,,
16572026021200183_255,,,
16572026021200183_256,,,
16572026021200183_257,,,
16572026021200183_258,,,
16572026021200183_259,,,
16572026021200183_260,,,
26152026021200914_261,,,
26152026021200914_262,,,
26152026021200914_263,,,
26152026021200914_264,,,
26152026021200914_265,,,
26152026021200914_266,,,
26152026021200914_267,,,
26152026021200914_268,,,
26152026021200914_269,,,
26152026021200914_270,,,
26802026021200657_271,,,
26802026021200657_272,,,
26802026021200657_273,,,
26802026021200657_274,,,
26802026021200657_275,,,
26802026021200657_276,,,
26802026021200657_277,,,
26802026021200657_278,,,
26802026021200657_279,,,
26802026021200657_280,,,
21012026021200158_281,,,
21012026021200158_282,,,
21012026021200158_283,,,
21012026021200158_284,,,
21012026021200158_285,,,
21012026021200158_286,,,
21012026021200158_287,,,
21012026021200158_288,,,
21012026021200158_289,,,
21012026021200158_290,,,
16102026021200521_291,,,
16102026021200521_292,,,
