자재바코드,검사일시,검사결과,비고
14802026021200924_001,2026-02-12 17:22:08,NG1,R전류, S전류, T전류 불량
14802026021200924_002,,,
14802026021200924_003,,,
14802026021200924_004,,,
14802026021200924_005,,,
14802026021200924_006,,,
14802026021200924_007,,,
14802026021200924_008,,,
14802026021200924_009,,,
14802026021200924_010,,,
14802026021200924_011,,,
14802026021200924_012,,,
14802026021200924_013,,,
14802026021200924_014,,,
14802026021200924_015,,,
14802026021200924_016,,,
14802026021200924_017,,,
14802026021200924_018,,,
14802026021200924_019,,,
14802026021200924_020,,,
14802026021200924_021,,,
14802026021200924_022,,,
14802026021200924_023,,,
14802026021200924_024,,,
14802026021200924_025,,,
14802026021200924_026,,,
14802026021200924_027,,,
14802026021200924_028,,,
14802026021200924_029,,,
14802026021200924_030,,,
14802026021200924_031,,,
14802026021200924_032,,,
14802026021200924_033,,,
14802026021200924_034,,,
14802026021200924_035,,,
14802026021200924_036,,,
14802026021200924_037,,,
14802026021200924_038,,,
14802026021200924_039,,,
14802026021200924_040,,,
14802026021200924_041,,,
14802026021200924_042,,,
14802026021200924_043,,,
14802026021200924_044,,,
14802026021200924_045,,,
14802026021200924_046,,,
14802026021200924_047,,,
14802026021200924_048,,,
14802026021200924_049,,,
14802026021200924_050,,,
14802026021200924_051,,,
14802026021200924_052,,,
14802026021200924_053,,,
14802026021200924_054,,,
14802026021200924_055,,,
14802026021200924_056,,,
14802026021200924_057,,,
14802026021200924_058,,,
14802026021200924_059,,,
14802026021200924_060,,,
14802026021200924_061,,,
14802026021200924_062,,,
14802026021200924_063,,,
14802026021200924_064,,,
14802026021200924_065,,,
14802026021200924_066,,,
14802026021200924_067,,,
14802026021200924_068,,,
14802026021200924_069,,,
14802026021200924_070,,,
14802026021200924_071,,,
14802026021200924_072,,,
14802026021200924_073,,,
14802026021200924_074,,,
14802026021200924_075,,,
14802026021200924_076,,,
14802026021200924_077,,,
14802026021200924_078,,,
14802026021200924_079,,,
14802026021200924_080,,,
14802026021200924_081,,,
14802026021200924_082,,,
14802026021200924_083,,,
14802026021200924_084,,,
14802026021200924_085,,,
14802026021200924_086,,,
14802026021200924_087,,,
14802026021200924_088,,,
14802026021200924_089,,,
14802026021200924_090,,,
14802026021200924_091,,,
14802026021200924_092,,,
14802026021200924_093,,,
14802026021200924_094,,,
14802026021200924_095,,,
14802026021200924_096,,,
14802026021200924_097,,,
14802026021200924_098,,,
14802026021200924_099,,,
14802026021200924_100,,,
