자재바코드,검사일시,검사결과,비고
14802026021200409_001,2026-02-12 00:31:32,NG1,R전류, S전류, T전류 불량
14802026021200409_002,2026-02-12 00:31:57,NG1,R전류, S전류, T전류 불량
14802026021200409_003,2026-02-12 00:32:15,NG1,R전류, S전류, T전류 불량
14802026021200409_004,,,
14802026021200409_005,,,
14802026021200409_006,,,
14802026021200409_007,,,
14802026021200409_008,,,
14802026021200409_009,,,
14802026021200409_010,,,
14802026021200409_011,,,
14802026021200409_012,,,
14802026021200409_013,,,
14802026021200409_014,,,
14802026021200409_015,,,
14802026021200409_016,,,
14802026021200409_017,,,
14802026021200409_018,,,
14802026021200409_019,,,
14802026021200409_020,,,
14802026021200409_021,,,
14802026021200409_022,,,
14802026021200409_023,,,
14802026021200409_024,,,
14802026021200409_025,,,
14802026021200409_026,,,
14802026021200409_027,,,
14802026021200409_028,,,
14802026021200409_029,,,
14802026021200409_030,,,
14802026021200409_031,,,
14802026021200409_032,,,
14802026021200409_033,,,
14802026021200409_034,,,
14802026021200409_035,,,
14802026021200409_036,,,
14802026021200409_037,,,
14802026021200409_038,,,
14802026021200409_039,,,
14802026021200409_040,,,
14802026021200409_041,,,
14802026021200409_042,,,
14802026021200409_043,,,
14802026021200409_044,,,
14802026021200409_045,,,
14802026021200409_046,,,
14802026021200409_047,,,
14802026021200409_048,,,
14802026021200409_049,,,
14802026021200409_050,,,
14802026021200409_051,,,
14802026021200409_052,,,
14802026021200409_053,,,
14802026021200409_054,,,
14802026021200409_055,,,
14802026021200409_056,,,
14802026021200409_057,,,
14802026021200409_058,,,
14802026021200409_059,,,
14802026021200409_060,,,
14802026021200409_061,,,
14802026021200409_062,,,
14802026021200409_063,,,
14802026021200409_064,,,
14802026021200409_065,,,
14802026021200409_066,,,
14802026021200409_067,,,
14802026021200409_068,,,
14802026021200409_069,,,
14802026021200409_070,,,
14802026021200409_071,,,
14802026021200409_072,,,
14802026021200409_073,,,
14802026021200409_074,,,
14802026021200409_075,,,
14802026021200409_076,,,
14802026021200409_077,,,
14802026021200409_078,,,
14802026021200409_079,,,
14802026021200409_080,,,
14802026021200409_081,,,
14802026021200409_082,,,
14802026021200409_083,,,
14802026021200409_084,,,
14802026021200409_085,,,
14802026021200409_086,,,
14802026021200409_087,,,
14802026021200409_088,,,
14802026021200409_089,,,
14802026021200409_090,,,
14802026021200409_091,,,
14802026021200409_092,,,
14802026021200409_093,,,
14802026021200409_094,,,
14802026021200409_095,,,
14802026021200409_096,,,
14802026021200409_097,,,
14802026021200409_098,,,
14802026021200409_099,,,
14802026021200409_100,,,
