자재바코드,검사일시,검사결과,비고
13032026021200239_001,2026-02-12 16:58:10,NG1,R전류 불량
13032026021200239_002,2026-02-12 16:58:59,NG1,R전류 불량
13032026021200239_003,,,
13032026021200239_004,,,
13032026021200239_005,,,
13032026021200239_006,,,
13032026021200239_007,,,
13032026021200239_008,,,
13032026021200239_009,,,
13032026021200239_010,,,
13032026021200239_011,,,
13032026021200239_012,,,
13032026021200239_013,,,
13032026021200239_014,,,
13032026021200239_015,,,
13032026021200239_016,,,
13032026021200239_017,,,
13032026021200239_018,,,
13032026021200239_019,,,
13032026021200239_020,,,
13032026021200239_021,,,
13032026021200239_022,,,
13032026021200239_023,,,
13032026021200239_024,,,
13032026021200239_025,,,
13032026021200239_026,,,
13032026021200239_027,,,
13032026021200239_028,,,
13032026021200239_029,,,
13032026021200239_030,,,
13032026021200239_031,,,
13032026021200239_032,,,
13032026021200239_033,,,
13032026021200239_034,,,
13032026021200239_035,,,
13032026021200239_036,,,
13032026021200239_037,,,
13032026021200239_038,,,
13032026021200239_039,,,
13032026021200239_040,,,
13032026021200239_041,,,
13032026021200239_042,,,
13032026021200239_043,,,
13032026021200239_044,,,
13032026021200239_045,,,
13032026021200239_046,,,
13032026021200239_047,,,
13032026021200239_048,,,
13032026021200239_049,,,
13032026021200239_050,,,
13032026021200239_051,,,
13032026021200239_052,,,
13032026021200239_053,,,
13032026021200239_054,,,
13032026021200239_055,,,
13032026021200239_056,,,
13032026021200239_057,,,
13032026021200239_058,,,
13032026021200239_059,,,
13032026021200239_060,,,
13032026021200239_061,,,
13032026021200239_062,,,
13032026021200239_063,,,
13032026021200239_064,,,
13032026021200239_065,,,
13032026021200239_066,,,
13032026021200239_067,,,
13032026021200239_068,,,
13032026021200239_069,,,
13032026021200239_070,,,
13032026021200239_071,,,
13032026021200239_072,,,
13032026021200239_073,,,
13032026021200239_074,,,
13032026021200239_075,,,
13032026021200239_076,,,
13032026021200239_077,,,
13032026021200239_078,,,
13032026021200239_079,,,
13032026021200239_080,,,
13032026021200239_081,,,
13032026021200239_082,,,
13032026021200239_083,,,
13032026021200239_084,,,
13032026021200239_085,,,
13032026021200239_086,,,
13032026021200239_087,,,
13032026021200239_088,,,
13032026021200239_089,,,
13032026021200239_090,,,
13032026021200239_091,,,
13032026021200239_092,,,
13032026021200239_093,,,
13032026021200239_094,,,
13032026021200239_095,,,
13032026021200239_096,,,
13032026021200239_097,,,
13032026021200239_098,,,
13032026021200239_099,,,
13032026021200239_100,,,
