자재바코드,검사일시,검사결과,비고
12012026021200532_001,2026-02-12 00:08:39,NG1,R전류 불량
12012026021200532_002,2026-02-12 00:08:58,NG1,R전류 불량
12012026021200532_003,2026-02-12 00:09:17,NG1,R전류 불량
12012026021200532_004,2026-02-12 00:09:45,NG1,R전류 불량
12012026021200532_005,,,
12012026021200532_006,,,
12012026021200532_007,,,
12012026021200532_008,,,
12012026021200532_009,,,
12012026021200532_010,,,
12012026021200532_011,,,
12012026021200532_012,,,
12012026021200532_013,,,
12012026021200532_014,,,
12012026021200532_015,,,
12012026021200532_016,,,
12012026021200532_017,,,
12012026021200532_018,,,
12012026021200532_019,,,
12012026021200532_020,,,
12012026021200532_021,,,
12012026021200532_022,,,
12012026021200532_023,,,
12012026021200532_024,,,
12012026021200532_025,,,
12012026021200532_026,,,
12012026021200532_027,,,
12012026021200532_028,,,
12012026021200532_029,,,
12012026021200532_030,,,
12012026021200532_031,,,
12012026021200532_032,,,
12012026021200532_033,,,
12012026021200532_034,,,
12012026021200532_035,,,
12012026021200532_036,,,
12012026021200532_037,,,
12012026021200532_038,,,
12012026021200532_039,,,
12012026021200532_040,,,
12012026021200532_041,,,
12012026021200532_042,,,
12012026021200532_043,,,
12012026021200532_044,,,
12012026021200532_045,,,
12012026021200532_046,,,
12012026021200532_047,,,
12012026021200532_048,,,
12012026021200532_049,,,
12012026021200532_050,,,
12012026021200532_051,,,
12012026021200532_052,,,
12012026021200532_053,,,
12012026021200532_054,,,
12012026021200532_055,,,
12012026021200532_056,,,
12012026021200532_057,,,
12012026021200532_058,,,
12012026021200532_059,,,
12012026021200532_060,,,
12012026021200532_061,,,
12012026021200532_062,,,
12012026021200532_063,,,
12012026021200532_064,,,
12012026021200532_065,,,
12012026021200532_066,,,
12012026021200532_067,,,
12012026021200532_068,,,
12012026021200532_069,,,
12012026021200532_070,,,
12012026021200532_071,,,
12012026021200532_072,,,
12012026021200532_073,,,
12012026021200532_074,,,
12012026021200532_075,,,
12012026021200532_076,,,
12012026021200532_077,,,
12012026021200532_078,,,
12012026021200532_079,,,
12012026021200532_080,,,
12012026021200532_081,,,
12012026021200532_082,,,
12012026021200532_083,,,
12012026021200532_084,,,
12012026021200532_085,,,
12012026021200532_086,,,
12012026021200532_087,,,
12012026021200532_088,,,
12012026021200532_089,,,
12012026021200532_090,,,
12012026021200532_091,,,
12012026021200532_092,,,
12012026021200532_093,,,
12012026021200532_094,,,
12012026021200532_095,,,
12012026021200532_096,,,
12012026021200532_097,,,
12012026021200532_098,,,
12012026021200532_099,,,
12012026021200532_100,,,
