자재바코드,검사일시,검사결과,비고
14502026021200426_001,2026-02-12 00:14:17,NG3,R전류, S전류, T전류, 소음 불량
14502026021200426_002,2026-02-12 00:14:36,NG3,R전류, S전류, T전류, 소음 불량
14502026021200426_003,,,
14502026021200426_004,,,
14502026021200426_005,,,
14502026021200426_006,,,
14502026021200426_007,,,
14502026021200426_008,,,
14502026021200426_009,,,
14502026021200426_010,,,
14502026021200426_011,,,
14502026021200426_012,,,
14502026021200426_013,,,
14502026021200426_014,,,
14502026021200426_015,,,
14502026021200426_016,,,
14502026021200426_017,,,
14502026021200426_018,,,
14502026021200426_019,,,
14502026021200426_020,,,
14502026021200426_021,,,
14502026021200426_022,,,
14502026021200426_023,,,
14502026021200426_024,,,
14502026021200426_025,,,
14502026021200426_026,,,
14502026021200426_027,,,
14502026021200426_028,,,
14502026021200426_029,,,
14502026021200426_030,,,
14502026021200426_031,,,
14502026021200426_032,,,
14502026021200426_033,,,
14502026021200426_034,,,
14502026021200426_035,,,
14502026021200426_036,,,
14502026021200426_037,,,
14502026021200426_038,,,
14502026021200426_039,,,
14502026021200426_040,,,
14502026021200426_041,,,
14502026021200426_042,,,
14502026021200426_043,,,
14502026021200426_044,,,
14502026021200426_045,,,
14502026021200426_046,,,
14502026021200426_047,,,
14502026021200426_048,,,
14502026021200426_049,,,
14502026021200426_050,,,
14502026021200426_051,,,
14502026021200426_052,,,
14502026021200426_053,,,
14502026021200426_054,,,
14502026021200426_055,,,
14502026021200426_056,,,
14502026021200426_057,,,
14502026021200426_058,,,
14502026021200426_059,,,
14502026021200426_060,,,
14502026021200426_061,,,
14502026021200426_062,,,
14502026021200426_063,,,
14502026021200426_064,,,
14502026021200426_065,,,
14502026021200426_066,,,
14502026021200426_067,,,
14502026021200426_068,,,
14502026021200426_069,,,
14502026021200426_070,,,
14502026021200426_071,,,
14502026021200426_072,,,
14502026021200426_073,,,
14502026021200426_074,,,
14502026021200426_075,,,
14502026021200426_076,,,
14502026021200426_077,,,
14502026021200426_078,,,
14502026021200426_079,,,
14502026021200426_080,,,
14502026021200426_081,,,
14502026021200426_082,,,
14502026021200426_083,,,
14502026021200426_084,,,
14502026021200426_085,,,
14502026021200426_086,,,
14502026021200426_087,,,
14502026021200426_088,,,
14502026021200426_089,,,
14502026021200426_090,,,
14502026021200426_091,,,
14502026021200426_092,,,
14502026021200426_093,,,
14502026021200426_094,,,
14502026021200426_095,,,
14502026021200426_096,,,
14502026021200426_097,,,
14502026021200426_098,,,
14502026021200426_099,,,
14502026021200426_100,,,
